date,spbmv_vix
13/04/16,14.35
14/04/16,16.74
15/04/16,14.02
18/04/16,14.45
19/04/16,14.67
20/04/16,14.83
21/04/16,14.73
22/04/16,14.94
25/04/16,15.16
26/04/16,15.74
27/04/16,14.82
28/04/16,17.11
29/04/16,16.22
03/05/16,16.05
04/05/16,16.11
05/05/16,16.13
06/05/16,15.86
09/05/16,16.09
10/05/16,15.65
11/05/16,15.81
12/05/16,15.87
13/05/16,16.35
16/05/16,16.2
17/05/16,16.14
18/05/16,16.11
19/05/16,16.69
20/05/16,16.16
23/05/16,16.52
24/05/16,15.7
25/05/16,15.45
26/05/16,15.06
27/05/16,15.57
30/05/16,15.61
31/05/16,15.64
01/06/16,15.55
02/06/16,15.75
03/06/16,15.36
06/06/16,15.23
07/06/16,15.53
08/06/16,16.47
09/06/16,16.23
10/06/16,16.65
13/06/16,17.28
14/06/16,17.52
15/06/16,16.99
16/06/16,16.19
17/06/16,15.65
20/06/16,14.66
21/06/16,14.76
22/06/16,14.7
23/06/16,15.4
24/06/16,19.04
27/06/16,18.74
28/06/16,17.07
29/06/16,22.57
30/06/16,15.37
01/07/16,15.3
04/07/16,15.45
05/07/16,16.09
06/07/16,16.47
07/07/16,16.37
08/07/16,14.75
11/07/16,14.3
12/07/16,14.04
13/07/16,13.48
14/07/16,13.53
15/07/16,13.16
18/07/16,13.94
19/07/16,13.6
20/07/16,13.24
21/07/16,13.73
22/07/16,13.71
25/07/16,14.73
26/07/16,14.94
27/07/16,15.38
28/07/16,15.91
29/07/16,15.74
01/08/16,15.66
02/08/16,15.86
03/08/16,15.54
04/08/16,15.52
05/08/16,15.28
08/08/16,15.37
09/08/16,14.9
10/08/16,14.89
11/08/16,14.47
12/08/16,15.11
15/08/16,14.8
16/08/16,15.02
17/08/16,15.47
18/08/16,14.89
19/08/16,15.1
22/08/16,15.45
23/08/16,15.29
24/08/16,15.61
25/08/16,15.77
26/08/16,15.93
29/08/16,15.63
30/08/16,15.59
31/08/16,15.81
01/09/16,15.7
02/09/16,15.49
05/09/16,15.19
06/09/16,15.19
07/09/16,15.62
08/09/16,15.41
09/09/16,17.2
12/09/16,16.69
13/09/16,17.32
14/09/16,17.79
15/09/16,17.36
19/09/16,17.15
20/09/16,16.85
21/09/16,15.96
22/09/16,15.73
23/09/16,15.93
26/09/16,16.88
27/09/16,16.39
28/09/16,16.06
29/09/16,16.84
30/09/16,16.97
04/10/16,16.61
05/10/16,16.25
06/10/16,16.18
07/10/16,16.41
10/10/16,16.86
11/10/16,17.2
12/10/16,17.22
13/10/16,17.29
14/10/16,16.92
17/10/16,16.97
18/10/16,16.46
19/10/16,16.05
20/10/16,16.05
21/10/16,15.78
24/10/16,15.96
25/10/16,16.04
26/10/16,16.32
27/10/16,16.11
28/10/16,17.37
31/10/16,17.26
01/11/16,18.71
03/11/16,19.19
04/11/16,19.42
07/11/16,18.52
08/11/16,18.58
09/11/16,19.7
10/11/16,21.57
11/11/16,21.69
14/11/16,21.79
15/11/16,21.35
16/11/16,21.4
17/11/16,21.11
18/11/16,21.14
22/11/16,20.2
23/11/16,19.73
24/11/16,19.73
25/11/16,19.54
28/11/16,19.2
29/11/16,18.62
30/11/16,18.07
01/12/16,18.29
02/12/16,18.26
05/12/16,18.09
06/12/16,17.85
07/12/16,17.64
08/12/16,17.35
09/12/16,17.08
13/12/16,17.36
14/12/16,18.01
15/12/16,17.97
16/12/16,18.44
19/12/16,17.86
20/12/16,17.32
21/12/16,16.63
22/12/16,16.7
23/12/16,16.11
26/12/16,16.26
27/12/16,16.34
28/12/16,16.08
29/12/16,16.21
30/12/16,20.02
03/01/17,17.25
04/01/17,16.8
05/01/17,16.47
06/01/17,16.73
09/01/17,17.01
10/01/17,16.34
11/01/17,16.61
12/01/17,16.56
13/01/17,16.19
16/01/17,16.46
17/01/17,16.51
18/01/17,16.34
19/01/17,16.88
20/01/17,16.71
23/01/17,16.34
24/01/17,15.91
25/01/17,16.35
26/01/17,17.85
27/01/17,17.93
30/01/17,18
31/01/17,18.01
01/02/17,17.89
02/02/17,17.52
03/02/17,17.08
07/02/17,17.47
08/02/17,17.21
09/02/17,17.03
10/02/17,16.97
13/02/17,16.96
14/02/17,16.79
15/02/17,16.22
16/02/17,16.11
17/02/17,16.04
20/02/17,16.31
21/02/17,15.8
22/02/17,16.56
23/02/17,16.63
24/02/17,16.75
27/02/17,16.29
28/02/17,16.96
01/03/17,16.05
02/03/17,15.78
03/03/17,15.66
06/03/17,15.47
07/03/17,15.81
08/03/17,15.51
09/03/17,15.2
10/03/17,15.04
13/03/17,15.35
14/03/17,15.84
15/03/17,15.58
16/03/17,15.64
17/03/17,15.52
21/03/17,15.2
22/03/17,15.01
23/03/17,14.44
24/03/17,14.57
27/03/17,14.66
28/03/17,14.78
29/03/17,14.77
30/03/17,15.11
31/03/17,15.31
03/04/17,15.33
04/04/17,15.21
05/04/17,15.09
06/04/17,14.92
07/04/17,15.08
10/04/17,14.62
11/04/17,15.33
12/04/17,15.72
17/04/17,15.77
18/04/17,16.58
19/04/17,15.99
20/04/17,15.52
21/04/17,15.83
24/04/17,15.38
25/04/17,15.05
26/04/17,15.33
27/04/17,16.36
28/04/17,15.26
02/05/17,15.29
03/05/17,16.03
04/05/17,15.97
05/05/17,15.59
08/05/17,15.8
09/05/17,15.28
10/05/17,15.95
11/05/17,16.11
12/05/17,15.6
15/05/17,15.66
16/05/17,15.4
17/05/17,15.59
