Concepto,Fecha,Valor
Estados Unidos Mexicanos,2003 |  T1,70.56806905181188
a  Región Norte,2003 |  T1,67.17257912856111
b  Región Centro-Norte,2003 |  T1,61.32203908925511
c  Región Centro,2003 |  T1,61.73021895355151
d  Región Centro-Sur,2003 |  T1,60.3621608135344
e  Región Sur-Sureste,2003 |  T1,108.81193946167042
Estados Unidos Mexicanos,2003 |  T2,76.53972408198808
a  Región Norte,2003 |  T2,75.08772171439678
b  Región Centro-Norte,2003 |  T2,67.93219706131757
c  Región Centro,2003 |  T2,130.82021471897204
d  Región Centro-Sur,2003 |  T2,72.1530084878676
e  Región Sur-Sureste,2003 |  T2,88.80452074019205
Estados Unidos Mexicanos,2003 |  T3,67.61969418076754
a  Región Norte,2003 |  T3,63.85433710576693
b  Región Centro-Norte,2003 |  T3,73.63256058680425
c  Región Centro,2003 |  T3,79.05716463178521
d  Región Centro-Sur,2003 |  T3,59.68620596178141
e  Región Sur-Sureste,2003 |  T3,70.91580580497879
Estados Unidos Mexicanos,2003 |  T4,80.29062189139547
a  Región Norte,2003 |  T4,75.79670674649893
b  Región Centro-Norte,2003 |  T4,77.1660611370663
c  Región Centro,2003 |  T4,118.41952905240215
d  Región Centro-Sur,2003 |  T4,81.09811263735205
e  Región Sur-Sureste,2003 |  T4,84.68069061655667
Estados Unidos Mexicanos,2003 |  6 Meses,73.55389656689998
a  Región Norte,2003 |  6 Meses,71.13015042147893
b  Región Centro-Norte,2003 |  6 Meses,64.62711807528633
c  Región Centro,2003 |  6 Meses,96.27521683626178
d  Región Centro-Sur,2003 |  6 Meses,66.25758465070099
e  Región Sur-Sureste,2003 |  6 Meses,98.80823010093124
Estados Unidos Mexicanos,2003 |  9 Meses,71.57582910485583
a  Región Norte,2003 |  9 Meses,68.7048793162416
b  Región Centro-Norte,2003 |  9 Meses,67.6289322457923
c  Región Centro,2003 |  9 Meses,90.53586610143626
d  Región Centro-Sur,2003 |  9 Meses,64.06712508772779
e  Región Sur-Sureste,2003 |  9 Meses,89.51075533561377
Estados Unidos Mexicanos,2003 |  Anual,73.75452730149074
a  Región Norte,2003 |  Anual,70.47783617380594
b  Región Centro-Norte,2003 |  Anual,70.01321446861081
c  Región Centro,2003 |  Anual,97.50678183917772
d  Región Centro-Sur,2003 |  Anual,68.32487197513385
e  Región Sur-Sureste,2003 |  Anual,88.30323915584948
Estados Unidos Mexicanos,2004 |  T1,76.67962458129654
a  Región Norte,2004 |  T1,73.17319039633125
b  Región Centro-Norte,2004 |  T1,67.93828422896166
c  Región Centro,2004 |  T1,68.5074029188994
d  Región Centro-Sur,2004 |  T1,60.623365123644845
e  Región Sur-Sureste,2004 |  T1,121.57771322367834
Estados Unidos Mexicanos,2004 |  T2,77.42500462550535
a  Región Norte,2004 |  T2,76.88274411314417
b  Región Centro-Norte,2004 |  T2,76.36888884090793
c  Región Centro,2004 |  T2,114.91347992740498
d  Región Centro-Sur,2004 |  T2,71.823717574098
e  Región Sur-Sureste,2004 |  T2,79.34193858691467
Estados Unidos Mexicanos,2004 |  T3,65.43890704561073
a  Región Norte,2004 |  T3,64.20141812305741
b  Región Centro-Norte,2004 |  T3,70.52067357660161
c  Región Centro,2004 |  T3,74.95943696478125
d  Región Centro-Sur,2004 |  T3,59.213577277366895
e  Región Sur-Sureste,2004 |  T3,64.17308449153374
Estados Unidos Mexicanos,2004 |  T4,83.8881630312174
a  Región Norte,2004 |  T4,85.05146797918023
b  Región Centro-Norte,2004 |  T4,81.63081609119604
c  Región Centro,2004 |  T4,120.04464173498366
d  Región Centro-Sur,2004 |  T4,75.74282238986694
e  Región Sur-Sureste,2004 |  T4,88.5577138000586
Estados Unidos Mexicanos,2004 |  6 Meses,77.05231460340094
a  Región Norte,2004 |  6 Meses,75.02796725473773
b  Región Centro-Norte,2004 |  6 Meses,72.1535865349348
