Concepto,Fecha,Valor
Estados Unidos Mexicanos,2003 |  T1,82.33136064329706
a  Región Norte,2003 |  T1,80.08694824064527
b  Región Centro-Norte,2003 |  T1,80.29185795001801
c  Región Centro,2003 |  T1,84.53743792512519
d  Región Centro-Sur,2003 |  T1,82.81297378260793
e  Región Sur-Sureste,2003 |  T1,82.95793628587302
Estados Unidos Mexicanos,2003 |  T2,84.70668297834982
a  Región Norte,2003 |  T2,82.12231997046727
b  Región Centro-Norte,2003 |  T2,84.29992407177804
c  Región Centro,2003 |  T2,84.3788674895208
d  Región Centro-Sur,2003 |  T2,85.66647036959098
e  Región Sur-Sureste,2003 |  T2,88.39285665329768
Estados Unidos Mexicanos,2003 |  T3,81.85011856914313
a  Región Norte,2003 |  T3,78.6065722568585
b  Región Centro-Norte,2003 |  T3,77.92563315750351
c  Región Centro,2003 |  T3,84.37180807610926
d  Región Centro-Sur,2003 |  T3,84.42578834943588
e  Región Sur-Sureste,2003 |  T3,83.32006415749996
Estados Unidos Mexicanos,2003 |  T4,84.60269676579783
a  Región Norte,2003 |  T4,82.80469988471427
b  Región Centro-Norte,2003 |  T4,84.7811522164329
c  Región Centro,2003 |  T4,83.53385501138065
d  Región Centro-Sur,2003 |  T4,86.77579665164944
e  Región Sur-Sureste,2003 |  T4,86.86299552464617
Estados Unidos Mexicanos,2003 |  6 Meses,83.51902181082343
a  Región Norte,2003 |  6 Meses,81.10463410555627
b  Región Centro-Norte,2003 |  6 Meses,82.29589101089803
c  Región Centro,2003 |  6 Meses,84.45815270732301
d  Región Centro-Sur,2003 |  6 Meses,84.23972207609945
e  Región Sur-Sureste,2003 |  6 Meses,85.67539646958537
Estados Unidos Mexicanos,2003 |  9 Meses,82.96272073026334
a  Región Norte,2003 |  9 Meses,80.271946822657
b  Región Centro-Norte,2003 |  9 Meses,80.83913839309986
c  Región Centro,2003 |  9 Meses,84.4293711635851
d  Región Centro-Sur,2003 |  9 Meses,84.30174416721158
e  Región Sur-Sureste,2003 |  9 Meses,84.89028569889024
Estados Unidos Mexicanos,2003 |  Anual,83.37271473914694
a  Región Norte,2003 |  Anual,80.90513508817132
b  Región Centro-Norte,2003 |  Anual,81.82464184893311
c  Región Centro,2003 |  Anual,84.20549212553398
d  Región Centro-Sur,2003 |  Anual,84.92025728832107
e  Región Sur-Sureste,2003 |  Anual,85.38346315532922
Estados Unidos Mexicanos,2004 |  T1,82.45144000778372
a  Región Norte,2004 |  T1,79.07075610288183
b  Región Centro-Norte,2004 |  T1,79.40473075097509
c  Región Centro,2004 |  T1,85.35964371357804
d  Región Centro-Sur,2004 |  T1,83.97235863061707
e  Región Sur-Sureste,2004 |  T1,83.4134561228984
Estados Unidos Mexicanos,2004 |  T2,85.09604193062033
a  Región Norte,2004 |  T2,83.31510200699091
b  Región Centro-Norte,2004 |  T2,86.03521305497543
c  Región Centro,2004 |  T2,83.11788203197723
d  Región Centro-Sur,2004 |  T2,87.31672888865755
e  Región Sur-Sureste,2004 |  T2,88.19225815649598
Estados Unidos Mexicanos,2004 |  T3,82.46717462477953
a  Región Norte,2004 |  T3,80.40624346590968
b  Región Centro-Norte,2004 |  T3,78.61824431562965
c  Región Centro,2004 |  T3,83.91861448510141
d  Región Centro-Sur,2004 |  T3,83.72104546204457
e  Región Sur-Sureste,2004 |  T3,85.49977650289576
Estados Unidos Mexicanos,2004 |  T4,85.69188725947973
a  Región Norte,2004 |  T4,83.73866508107909
b  Región Centro-Norte,2004 |  T4,83.24465259345527
c  Región Centro,2004 |  T4,84.1306530663217
d  Región Centro-Sur,2004 |  T4,87.06386702888167
e  Región Sur-Sureste,2004 |  T4,92.66377806379737
Estados Unidos Mexicanos,2004 |  6 Meses,83.77374096920202
a  Región Norte,2004 |  6 Meses,81.19292905493637
b  Región Centro-Norte,2004 |  6 Meses,82.71997190297526
c  Región Centro,2004 |  6 Meses,84.23876287277763
d  Región Centro-Sur,2004 |  6 Meses,85.64454375963732
e  Región Sur-Sureste,2004 |  6 Meses,85.8028571396972
Estados Unidos Mexicanos,2004 |  9 Meses,83.33821885439454
a  Región Norte,2004 |  9 Meses,80.93070052526082
b  Región Centro-Norte,2004 |  9 Meses,81.35272937386007
c  Región Centro,2004 |  9 Meses,84.13204674355222
d  Región Centro-Sur,2004 |  9 Meses,85.00337766043972
e  Región Sur-Sureste,2004 |  9 Meses,85.70183026076339
Estados Unidos Mexicanos,2004 |  Anual,83.92663595566586
a  Región Norte,2004 |  Anual,81.63269166421539
b  Región Centro-Norte,2004 |  Anual,81.82571017875887
c  Región Centro,2004 |  Anual,84.13169832424461
d  Región Centro-Sur,2004 |  Anual,85.51850000255024
e  Región Sur-Sureste,2004 |  Anual,87.44231721152187
Estados Unidos Mexicanos,2005 |  T1,82.82010805601458
a  Región Norte,2005 |  T1,80.00235907889788
b  Región Centro-Norte,2005 |  T1,79.95241419980809
c  Región Centro,2005 |  T1,85.00166082219182
d  Región Centro-Sur,2005 |  T1,82.92460347806252
e  Región Sur-Sureste,2005 |  T1,85.51528422625435
Estados Unidos Mexicanos,2005 |  T2,85.87495186929577
a  Región Norte,2005 |  T2,85.66325875108878
b  Región Centro-Norte,2005 |  T2,85.74324497200365
c  Región Centro,2005 |  T2,82.35751375273534
d  Región Centro-Sur,2005 |  T2,85.85615393069716
e  Región Sur-Sureste,2005 |  T2,92.9808931014775
Estados Unidos Mexicanos,2005 |  T3,83.9740806515505
a  Región Norte,2005 |  T3,81.39757509505804
b  Región Centro-Norte,2005 |  T3,77.44777406243124
c  Región Centro,2005 |  T3,89.01473421280008
d  Región Centro-Sur,2005 |  T3,83.93199779525654
e  Región Sur-Sureste,2005 |  T3,84.99842310524402
Estados Unidos Mexicanos,2005 |  T4,87.82403720694202
a  Región Norte,2005 |  T4,87.89798522840591
b  Región Centro-Norte,2005 |  T4,84.90028055402303
c  Región Centro,2005 |  T4,85.20285101817664
d  Región Centro-Sur,2005 |  T4,88.8380095442074
e  Región Sur-Sureste,2005 |  T4,94.88601920377182
Estados Unidos Mexicanos,2005 |  6 Meses,84.34752996265516
a  Región Norte,2005 |  6 Meses,82.83280891499334
b  Región Centro-Norte,2005 |  6 Meses,82.84782958590586
c  Región Centro,2005 |  6 Meses,83.67958728746359
d  Región Centro-Sur,2005 |  6 Meses,84.39037870437986
e  Región Sur-Sureste,2005 |  6 Meses,89.24808866386591
Estados Unidos Mexicanos,2005 |  9 Meses,84.22304685895361
a  Región Norte,2005 |  9 Meses,82.35439764168157
b  Región Centro-Norte,2005 |  9 Meses,81.04781107808098
c  Región Centro,2005 |  9 Meses,85.45796959590909
d  Región Centro-Sur,2005 |  9 Meses,84.23758506800542
e  Región Sur-Sureste,2005 |  9 Meses,87.83153347765862
Estados Unidos Mexicanos,2005 |  Anual,85.12329444595072
a  Región Norte,2005 |  Anual,83.74029453836268
b  Región Centro-Norte,2005 |  Anual,82.0109284470665
c  Región Centro,2005 |  Anual,85.39418995147597
d  Región Centro-Sur,2005 |  Anual,85.3876911870559
e  Región Sur-Sureste,2005 |  Anual,89.5951549091869
Estados Unidos Mexicanos,2006 |  T1,85.87808484345597
a  Región Norte,2006 |  T1,83.2910474258049
b  Región Centro-Norte,2006 |  T1,80.65468309199451
c  Región Centro,2006 |  T1,90.16949155763862
d  Región Centro-Sur,2006 |  T1,85.27191980694772
e  Región Sur-Sureste,2006 |  T1,87.45867923093002
Estados Unidos Mexicanos,2006 |  T2,88.34361315145941
a  Región Norte,2006 |  T2,86.90147037746154
b  Región Centro-Norte,2006 |  T2,87.01781731487814
c  Región Centro,2006 |  T2,89.26247157003611
d  Región Centro-Sur,2006 |  T2,86.77342157806632
e  Región Sur-Sureste,2006 |  T2,91.4543221938414
Estados Unidos Mexicanos,2006 |  T3,86.0170451470656
a  Región Norte,2006 |  T3,85.12958509897229
b  Región Centro-Norte,2006 |  T3,81.92087102498354
c  Región Centro,2006 |  T3,87.18830524295763
d  Región Centro-Sur,2006 |  T3,85.08123573280703
e  Región Sur-Sureste,2006 |  T3,90.28319737645502
