Concepto,Fecha,Valor
Estados Unidos Mexicanos,2003 |  T1,73.5805292299283
a  Región Norte,2003 |  T1,84.9104888223377
b  Región Centro-Norte,2003 |  T1,63.8894954382598
c  Región Centro,2003 |  T1,68.10164686594561
d  Región Centro-Sur,2003 |  T1,57.02549451025936
e  Región Sur-Sureste,2003 |  T1,87.23352498284149
Estados Unidos Mexicanos,2003 |  T2,70.2534399136008
a  Región Norte,2003 |  T2,70.23981995975582
b  Región Centro-Norte,2003 |  T2,62.81710392427512
c  Región Centro,2003 |  T2,73.35439228628414
d  Región Centro-Sur,2003 |  T2,58.35621882240149
e  Región Sur-Sureste,2003 |  T2,88.40824569025426
Estados Unidos Mexicanos,2003 |  T3,76.99653167441201
a  Región Norte,2003 |  T3,72.64069472606383
b  Región Centro-Norte,2003 |  T3,75.29928654202791
c  Región Centro,2003 |  T3,74.94782524115064
d  Región Centro-Sur,2003 |  T3,68.81508155920203
e  Región Sur-Sureste,2003 |  T3,95.92604553212168
Estados Unidos Mexicanos,2003 |  T4,73.54984860286574
a  Región Norte,2003 |  T4,69.56157249078797
b  Región Centro-Norte,2003 |  T4,71.92848184865841
c  Región Centro,2003 |  T4,71.36934211730467
d  Región Centro-Sur,2003 |  T4,69.84992065203566
e  Región Sur-Sureste,2003 |  T4,87.82564777081225
Estados Unidos Mexicanos,2003 |  6 Meses,71.91698457176456
a  Región Norte,2003 |  6 Meses,77.57515439104677
b  Región Centro-Norte,2003 |  6 Meses,63.35329968126746
c  Región Centro,2003 |  6 Meses,70.72801957611487
d  Región Centro-Sur,2003 |  6 Meses,57.690856666330426
e  Región Sur-Sureste,2003 |  6 Meses,87.82088533654789
Estados Unidos Mexicanos,2003 |  9 Meses,73.61016693931371
a  Región Norte,2003 |  9 Meses,75.93033450271912
b  Región Centro-Norte,2003 |  9 Meses,67.33529530152094
c  Región Centro,2003 |  9 Meses,72.13462146446012
d  Región Centro-Sur,2003 |  9 Meses,61.39893163062096
e  Región Sur-Sureste,2003 |  9 Meses,90.52260540173916
Estados Unidos Mexicanos,2003 |  Anual,73.59508735520171
a  Región Norte,2003 |  Anual,74.33814399973633
b  Región Centro-Norte,2003 |  Anual,68.48359193830532
c  Región Centro,2003 |  Anual,71.94330162767126
d  Región Centro-Sur,2003 |  Anual,63.511678885974646
e  Región Sur-Sureste,2003 |  Anual,89.84836599400741
Estados Unidos Mexicanos,2004 |  T1,78.30328099453145
a  Región Norte,2004 |  T1,81.83549680832212
b  Región Centro-Norte,2004 |  T1,76.91702391116596
c  Región Centro,2004 |  T1,77.76514172108092
d  Región Centro-Sur,2004 |  T1,67.95475549101306
e  Región Sur-Sureste,2004 |  T1,83.97190400385114
Estados Unidos Mexicanos,2004 |  T2,76.55494408270931
a  Región Norte,2004 |  T2,78.74607768223844
b  Región Centro-Norte,2004 |  T2,73.46843850726177
c  Región Centro,2004 |  T2,77.6848490292654
d  Región Centro-Sur,2004 |  T2,66.31018487302163
e  Región Sur-Sureste,2004 |  T2,85.26480970876375
Estados Unidos Mexicanos,2004 |  T3,80.55642866230261
a  Región Norte,2004 |  T3,78.29672092429963
b  Región Centro-Norte,2004 |  T3,76.01656082810146
c  Región Centro,2004 |  T3,76.68973850085388
d  Región Centro-Sur,2004 |  T3,77.66488941774044
e  Región Sur-Sureste,2004 |  T3,96.62517837530918
Estados Unidos Mexicanos,2004 |  T4,79.87108272021504
a  Región Norte,2004 |  T4,77.77623595746142
b  Región Centro-Norte,2004 |  T4,74.29762551963361
c  Región Centro,2004 |  T4,81.18834236715828
d  Región Centro-Sur,2004 |  T4,75.60584848552661
e  Región Sur-Sureste,2004 |  T4,93.73022334682352
Estados Unidos Mexicanos,2004 |  6 Meses,77.42911253862039
a  Región Norte,2004 |  6 Meses,80.29078724528028
b  Región Centro-Norte,2004 |  6 Meses,75.19273120921386
c  Región Centro,2004 |  6 Meses,77.72499537517317
d  Región Centro-Sur,2004 |  6 Meses,67.13247018201734
e  Región Sur-Sureste,2004 |  6 Meses,84.61835685630746
Estados Unidos Mexicanos,2004 |  9 Meses,78.47155124651445
a  Región Norte,2004 |  9 Meses,79.62609847162007
b  Región Centro-Norte,2004 |  9 Meses,75.4673410821764
c  Región Centro,2004 |  9 Meses,77.37990975040006
d  Región Centro-Sur,2004 |  9 Meses,70.64327659392505
e  Región Sur-Sureste,2004 |  9 Meses,88.62063069597468
Estados Unidos Mexicanos,2004 |  Anual,78.82143411493959
a  Región Norte,2004 |  Anual,79.1636328430804
b  Región Centro-Norte,2004 |  Anual,75.1749121915407
c  Región Centro,2004 |  Anual,78.33201790458962
d  Región Centro-Sur,2004 |  Anual,71.88391956682543
e  Región Sur-Sureste,2004 |  Anual,89.89802885868689
Estados Unidos Mexicanos,2005 |  T1,79.57164950819204
a  Región Norte,2005 |  T1,82.60710572996511
b  Región Centro-Norte,2005 |  T1,70.91188975388773
c  Región Centro,2005 |  T1,86.27150167948028
d  Región Centro-Sur,2005 |  T1,73.57326218701495
e  Región Sur-Sureste,2005 |  T1,85.69973147874438
Estados Unidos Mexicanos,2005 |  T2,79.41549252459359
a  Región Norte,2005 |  T2,80.48431353388558
b  Región Centro-Norte,2005 |  T2,71.54981876171276
c  Región Centro,2005 |  T2,83.59233089354848
d  Región Centro-Sur,2005 |  T2,72.16629932580524
e  Región Sur-Sureste,2005 |  T2,91.17002505573817
Estados Unidos Mexicanos,2005 |  T3,82.46659498114607
a  Región Norte,2005 |  T3,81.5122297198906
b  Región Centro-Norte,2005 |  T3,69.30944691797067
c  Región Centro,2005 |  T3,80.9216917193837
d  Región Centro-Sur,2005 |  T3,76.07555420597575
e  Región Sur-Sureste,2005 |  T3,109.16969455701184
Estados Unidos Mexicanos,2005 |  T4,84.44531979565345
a  Región Norte,2005 |  T4,79.19739911876643
b  Región Centro-Norte,2005 |  T4,80.74895182935606
c  Región Centro,2005 |  T4,79.90978912521626
d  Región Centro-Sur,2005 |  T4,74.82839940725783
e  Región Sur-Sureste,2005 |  T4,111.11348669142194
Estados Unidos Mexicanos,2005 |  6 Meses,79.49357101639282
a  Región Norte,2005 |  6 Meses,81.54570963192535
b  Región Centro-Norte,2005 |  6 Meses,71.23085425780025
c  Región Centro,2005 |  6 Meses,84.93191628651438
d  Región Centro-Sur,2005 |  6 Meses,72.8697807564101
e  Región Sur-Sureste,2005 |  6 Meses,88.43487826724127
Estados Unidos Mexicanos,2005 |  9 Meses,80.48457900464389
a  Región Norte,2005 |  9 Meses,81.5345496612471
b  Región Centro-Norte,2005 |  9 Meses,70.59038514452372
c  Región Centro,2005 |  9 Meses,83.5951747641375
d  Región Centro-Sur,2005 |  9 Meses,73.9383719062653
e  Región Sur-Sureste,2005 |  9 Meses,95.3464836971648
Estados Unidos Mexicanos,2005 |  Anual,81.47476420239629
a  Región Norte,2005 |  Anual,80.95026202562693
b  Región Centro-Norte,2005 |  Anual,73.13002681573181
c  Región Centro,2005 |  Anual,82.67382835440718
d  Región Centro-Sur,2005 |  Anual,74.16087878151345
e  Región Sur-Sureste,2005 |  Anual,99.28823444572907
Estados Unidos Mexicanos,2006 |  T1,84.05476915427421
a  Región Norte,2006 |  T1,82.47229978941745
b  Región Centro-Norte,2006 |  T1,76.90311571529391
c  Región Centro,2006 |  T1,95.65723322315776
d  Región Centro-Sur,2006 |  T1,68.25396074159731
e  Región Sur-Sureste,2006 |  T1,100.51042551828012
Estados Unidos Mexicanos,2006 |  T2,85.40950225197952
a  Región Norte,2006 |  T2,82.20098076718006
b  Región Centro-Norte,2006 |  T2,75.32250206796638
c  Región Centro,2006 |  T2,97.13729401601724
d  Región Centro-Sur,2006 |  T2,71.38320347871827
e  Región Sur-Sureste,2006 |  T2,106.93362950823123
Estados Unidos Mexicanos,2006 |  T3,92.56228145979097
a  Región Norte,2006 |  T3,89.01326116125473
b  Región Centro-Norte,2006 |  T3,79.62556455687503
c  Región Centro,2006 |  T3,99.53021621566452
d  Región Centro-Sur,2006 |  T3,80.90112339074169
e  Región Sur-Sureste,2006 |  T3,120.62558025342469
Estados Unidos Mexicanos,2006 |  T4,92.89115863726046
a  Región Norte,2006 |  T4,89.95395157018739
b  Región Centro-Norte,2006 |  T4,81.98813399804689
c  Región Centro,2006 |  T4,106.79941874896733
d  Región Centro-Sur,2006 |  T4,80.52819359905594
e  Región Sur-Sureste,2006 |  T4,111.6414142302076
Estados Unidos Mexicanos,2006 |  6 Meses,84.73213570312686
a  Región Norte,2006 |  6 Meses,82.33664027829876
b  Región Centro-Norte,2006 |  6 Meses,76.11280889163014
c  Región Centro,2006 |  6 Meses,96.39726361958752
d  Región Centro-Sur,2006 |  6 Meses,69.81858211015779
e  Región Sur-Sureste,2006 |  6 Meses,103.72202751325568
Estados Unidos Mexicanos,2006 |  9 Meses,87.34218428868157
a  Región Norte,2006 |  9 Meses,84.56218057261741
b  Región Centro-Norte,2006 |  9 Meses,77.28372744671177
c  Región Centro,2006 |  9 Meses,97.4415811516132
d  Región Centro-Sur,2006 |  9 Meses,73.5127625370191
e  Región Sur-Sureste,2006 |  9 Meses,109.356545093312
Estados Unidos Mexicanos,2006 |  Anual,88.72942787582629
a  Región Norte,2006 |  Anual,85.9101233220099
b  Región Centro-Norte,2006 |  Anual,78.45982908454555
c  Región Centro,2006 |  Anual,99.78104055095172
d  Región Centro-Sur,2006 |  Anual,75.2666203025283
e  Región Sur-Sureste,2006 |  Anual,109.9277623775359
Estados Unidos Mexicanos,2007 |  T1,88.59650218270392
a  Región Norte,2007 |  T1,87.61643817563221
b  Región Centro-Norte,2007 |  T1,81.53482513653404
c  Región Centro,2007 |  T1,93.64258175370756
d  Región Centro-Sur,2007 |  T1,73.88196013592258
e  Región Sur-Sureste,2007 |  T1,108.7110074559872
Estados Unidos Mexicanos,2007 |  T2,87.65583576171991
a  Región Norte,2007 |  T2,95.79271036223336
b  Región Centro-Norte,2007 |  T2,74.92753022412643
c  Región Centro,2007 |  T2,87.18023256760078
d  Región Centro-Sur,2007 |  T2,72.24805010448819
e  Región Sur-Sureste,2007 |  T2,105.44841552871848
Estados Unidos Mexicanos,2007 |  T3,94.69736281699616
a  Región Norte,2007 |  T3,105.98153681836682
b  Región Centro-Norte,2007 |  T3,78.28586069395081
c  Región Centro,2007 |  T3,91.39426230129524
d  Región Centro-Sur,2007 |  T3,82.01559805352461
e  Región Sur-Sureste,2007 |  T3,112.18505993435114
Estados Unidos Mexicanos,2007 |  T4,100.43906285849738
a  Región Norte,2007 |  T4,105.67199220629271
b  Región Centro-Norte,2007 |  T4,88.03778679922341
c  Región Centro,2007 |  T4,108.62003366516656
d  Región Centro-Sur,2007 |  T4,89.0754333390967
e  Región Sur-Sureste,2007 |  T4,111.45148732401296
Estados Unidos Mexicanos,2007 |  6 Meses,88.12616897221191
a  Región Norte,2007 |  6 Meses,91.7045742689328
b  Región Centro-Norte,2007 |  6 Meses,78.23117768033025
c  Región Centro,2007 |  6 Meses,90.41140716065418
d  Región Centro-Sur,2007 |  6 Meses,73.0650051202054
e  Región Sur-Sureste,2007 |  6 Meses,107.07971149235284
Estados Unidos Mexicanos,2007 |  9 Meses,90.31656692047332
a  Región Norte,2007 |  9 Meses,96.4635617854108
b  Región Centro-Norte,2007 |  9 Meses,78.2494053515371
c  Región Centro,2007 |  9 Meses,90.73902554086786
d  Región Centro-Sur,2007 |  9 Meses,76.04853609797846
e  Región Sur-Sureste,2007 |  9 Meses,108.78149430635229
Estados Unidos Mexicanos,2007 |  Anual,92.84719090497934
a  Región Norte,2007 |  Anual,98.76566939063127
b  Región Centro-Norte,2007 |  Anual,80.69650071345866
c  Región Centro,2007 |  Anual,95.20927757194256
d  Región Centro-Sur,2007 |  Anual,79.30526040825802
e  Región Sur-Sureste,2007 |  Anual,109.44899256076744
Estados Unidos Mexicanos,2008 |  T1,94.05123483229228
a  Región Norte,2008 |  T1,102.22670506626945
b  Región Centro-Norte,2008 |  T1,83.74421900546541
c  Región Centro,2008 |  T1,96.42959638587712
d  Región Centro-Sur,2008 |  T1,83.39173297312496
e  Región Sur-Sureste,2008 |  T1,101.67495393584872
Estados Unidos Mexicanos,2008 |  T2,97.5226841958216
a  Región Norte,2008 |  T2,102.36283720232906
b  Región Centro-Norte,2008 |  T2,91.5178417737152
c  Región Centro,2008 |  T2,100.47121738012903
d  Región Centro-Sur,2008 |  T2,86.07522558603631
e  Región Sur-Sureste,2008 |  T2,105.17354196171256
Estados Unidos Mexicanos,2008 |  T3,97.21208850278504
a  Región Norte,2008 |  T3,104.47800171495123
b  Región Centro-Norte,2008 |  T3,91.44143759143446
c  Región Centro,2008 |  T3,93.30551570140604
d  Región Centro-Sur,2008 |  T3,88.13950644833884
e  Región Sur-Sureste,2008 |  T3,104.31676747953304
Estados Unidos Mexicanos,2008 |  T4,97.50016850111382
a  Región Norte,2008 |  T4,99.02298265814902
b  Región Centro-Norte,2008 |  T4,93.6471077301494
c  Región Centro,2008 |  T4,100.83932848141365
d  Región Centro-Sur,2008 |  T4,86.7029960321855
e  Región Sur-Sureste,2008 |  T4,106.9434068979596
Estados Unidos Mexicanos,2008 |  6 Meses,95.78695951405692
a  Región Norte,2008 |  6 Meses,102.29477113429924
b  Región Centro-Norte,2008 |  6 Meses,87.63103038959031
c  Región Centro,2008 |  6 Meses,98.45040688300308
d  Región Centro-Sur,2008 |  6 Meses,84.73347927958062
e  Región Sur-Sureste,2008 |  6 Meses,103.42424794878065
Estados Unidos Mexicanos,2008 |  9 Meses,96.26200251029962
a  Región Norte,2008 |  9 Meses,103.02251466118324
b  Región Centro-Norte,2008 |  9 Meses,88.90116612353836
c  Región Centro,2008 |  9 Meses,96.73544315580408
d  Región Centro-Sur,2008 |  9 Meses,85.8688216691667
e  Región Sur-Sureste,2008 |  9 Meses,103.72175445903147
Estados Unidos Mexicanos,2008 |  Anual,96.5715440080032
a  Región Norte,2008 |  Anual,102.0226316604247
b  Región Centro-Norte,2008 |  Anual,90.08765152519112
c  Región Centro,2008 |  Anual,97.76141448720648
d  Región Centro-Sur,2008 |  Anual,86.07736525992141
e  Región Sur-Sureste,2008 |  Anual,104.5271675687635
Estados Unidos Mexicanos,2009 |  T1,87.44527867016674
a  Región Norte,2009 |  T1,89.93450603204327
b  Región Centro-Norte,2009 |  T1,82.6343018567676
c  Región Centro,2009 |  T1,87.30322752575091
d  Región Centro-Sur,2009 |  T1,77.5425241216806
e  Región Sur-Sureste,2009 |  T1,98.81401776191232
Estados Unidos Mexicanos,2009 |  T2,88.84752404430762
a  Región Norte,2009 |  T2,85.97870531240764
b  Región Centro-Norte,2009 |  T2,84.74908900287352
c  Región Centro,2009 |  T2,91.73287330488682
d  Región Centro-Sur,2009 |  T2,76.74894955006339
e  Región Sur-Sureste,2009 |  T2,107.69097342762969
Estados Unidos Mexicanos,2009 |  T3,91.31426942808282
a  Región Norte,2009 |  T3,93.0936466368803
b  Región Centro-Norte,2009 |  T3,87.94684805407492
c  Región Centro,2009 |  T3,79.03508728029014
d  Región Centro-Sur,2009 |  T3,81.97280227677909
e  Región Sur-Sureste,2009 |  T3,112.1339901316344
Estados Unidos Mexicanos,2009 |  T4,91.75672080458772
a  Región Norte,2009 |  T4,85.62090810108933
b  Región Centro-Norte,2009 |  T4,82.98260518006033
c  Región Centro,2009 |  T4,98.28572634987366
d  Región Centro-Sur,2009 |  T4,85.99923930049843
e  Región Sur-Sureste,2009 |  T4,113.6198919633293
Estados Unidos Mexicanos,2009 |  6 Meses,88.14640135723718
a  Región Norte,2009 |  6 Meses,87.95660567222546
b  Región Centro-Norte,2009 |  6 Meses,83.69169542982054
c  Región Centro,2009 |  6 Meses,89.51805041531887
d  Región Centro-Sur,2009 |  6 Meses,77.14573683587199
e  Región Sur-Sureste,2009 |  6 Meses,103.252495594771
Estados Unidos Mexicanos,2009 |  9 Meses,89.20235738085239
a  Región Norte,2009 |  9 Meses,89.66895266044375
b  Región Centro-Norte,2009 |  9 Meses,85.11007963790533
c  Región Centro,2009 |  9 Meses,86.0237293703093
d  Región Centro-Sur,2009 |  9 Meses,78.75475864950769
e  Región Sur-Sureste,2009 |  9 Meses,106.21299377372546
Estados Unidos Mexicanos,2009 |  Anual,89.84094823678625
a  Región Norte,2009 |  Anual,88.65694152060512
b  Región Centro-Norte,2009 |  Anual,84.5782110234441
c  Región Centro,2009 |  Anual,89.08922861520038
d  Región Centro-Sur,2009 |  Anual,80.56587881225538
e  Región Sur-Sureste,2009 |  Anual,108.06471832112643
Estados Unidos Mexicanos,2010 |  T1,88.56641825040631
a  Región Norte,2010 |  T1,87.19181520309643
b  Región Centro-Norte,2010 |  T1,83.47101050207011
c  Región Centro,2010 |  T1,88.94607114266825
d  Región Centro-Sur,2010 |  T1,78.67021695792194
e  Región Sur-Sureste,2010 |  T1,106.44806594286638
Estados Unidos Mexicanos,2010 |  T2,88.25153417074017
a  Región Norte,2010 |  T2,83.23383292753107
b  Región Centro-Norte,2010 |  T2,80.52900937095013
c  Región Centro,2010 |  T2,88.90528952331859
d  Región Centro-Sur,2010 |  T2,84.2319903719831
e  Región Sur-Sureste,2010 |  T2,110.3931202445282
Estados Unidos Mexicanos,2010 |  T3,88.72461430499877
a  Región Norte,2010 |  T3,90.7142710667919
b  Región Centro-Norte,2010 |  T3,79.61468711824593
c  Región Centro,2010 |  T3,83.09882189806022
d  Región Centro-Sur,2010 |  T3,80.88921113889319
e  Región Sur-Sureste,2010 |  T3,109.78859610640508
Estados Unidos Mexicanos,2010 |  T4,93.23583867050236
a  Región Norte,2010 |  T4,92.41208434060027
b  Región Centro-Norte,2010 |  T4,81.1973204794905
c  Región Centro,2010 |  T4,87.61599904776531
d  Región Centro-Sur,2010 |  T4,85.35407763636749
e  Región Sur-Sureste,2010 |  T4,123.13127977004956
Estados Unidos Mexicanos,2010 |  6 Meses,88.40897621057324
a  Región Norte,2010 |  6 Meses,85.21282406531373
b  Región Centro-Norte,2010 |  6 Meses,82.00000993651012
c  Región Centro,2010 |  6 Meses,88.92568033299342
d  Región Centro-Sur,2010 |  6 Meses,81.45110366495251
e  Región Sur-Sureste,2010 |  6 Meses,108.42059309369728
Estados Unidos Mexicanos,2010 |  9 Meses,88.51418890871508
a  Región Norte,2010 |  9 Meses,87.04663973247311
b  Región Centro-Norte,2010 |  9 Meses,81.20490233042204
c  Región Centro,2010 |  9 Meses,86.9833941880157
d  Región Centro-Sur,2010 |  9 Meses,81.26380615626609
e  Región Sur-Sureste,2010 |  9 Meses,108.87659409793322
Estados Unidos Mexicanos,2010 |  Anual,89.6946013491619
