Concepto,Fecha,Valor
Estados Unidos Mexicanos,2003 |  T1,45.79738454046231
a  Región Norte,2003 |  T1,46.63158748586106
b  Región Centro-Norte,2003 |  T1,41.9480670569782
c  Región Centro,2003 |  T1,46.40255704459847
d  Región Centro-Sur,2003 |  T1,41.7507045289852
e  Región Sur-Sureste,2003 |  T1,51.79428273967894
Estados Unidos Mexicanos,2003 |  T2,48.29751634063587
a  Región Norte,2003 |  T2,51.74258577716921
b  Región Centro-Norte,2003 |  T2,46.377187801748335
c  Región Centro,2003 |  T2,47.39339727398635
d  Región Centro-Sur,2003 |  T2,42.378948664125495
e  Región Sur-Sureste,2003 |  T2,49.18514012145216
Estados Unidos Mexicanos,2003 |  T3,49.36463643782171
a  Región Norte,2003 |  T3,55.3845563601584
b  Región Centro-Norte,2003 |  T3,46.34865091750498
c  Región Centro,2003 |  T3,45.76989009785434
d  Región Centro-Sur,2003 |  T3,43.11117463946656
e  Región Sur-Sureste,2003 |  T3,48.08877732714842
Estados Unidos Mexicanos,2003 |  T4,46.47554098880511
a  Región Norte,2003 |  T4,47.39114492846432
b  Región Centro-Norte,2003 |  T4,43.61418243153655
c  Región Centro,2003 |  T4,48.07190079563531
d  Región Centro-Sur,2003 |  T4,46.86481726108182
e  Región Sur-Sureste,2003 |  T4,46.53928304422504
Estados Unidos Mexicanos,2003 |  6 Meses,47.047450440549085
a  Región Norte,2003 |  6 Meses,49.18708663151514
b  Región Centro-Norte,2003 |  6 Meses,44.16262742936327
c  Región Centro,2003 |  6 Meses,46.89797715929242
d  Región Centro-Sur,2003 |  6 Meses,42.06482659655534
e  Región Sur-Sureste,2003 |  6 Meses,50.48971143056554
Estados Unidos Mexicanos,2003 |  9 Meses,47.8198457729733
a  Región Norte,2003 |  9 Meses,51.252909874396224
b  Región Centro-Norte,2003 |  9 Meses,44.8913019254105
c  Región Centro,2003 |  9 Meses,46.52194813881305
d  Región Centro-Sur,2003 |  9 Meses,42.41360927752575
e  Región Sur-Sureste,2003 |  9 Meses,49.68940006275984
Estados Unidos Mexicanos,2003 |  Anual,47.483769576931245
a  Región Norte,2003 |  Anual,50.28746863791325
b  Región Centro-Norte,2003 |  Anual,44.572022051942014
c  Región Centro,2003 |  Anual,46.90943630301862
d  Región Centro-Sur,2003 |  Anual,43.52641127341476
e  Región Sur-Sureste,2003 |  Anual,48.90187080812614
Estados Unidos Mexicanos,2004 |  T1,54.65383992039218
a  Región Norte,2004 |  T1,54.148322648594736
b  Región Centro-Norte,2004 |  T1,49.79434530626576
c  Región Centro,2004 |  T1,56.63710809782378
d  Región Centro-Sur,2004 |  T1,53.01282023141187
e  Región Sur-Sureste,2004 |  T1,61.619261315673846
Estados Unidos Mexicanos,2004 |  T2,58.40451653292044
a  Región Norte,2004 |  T2,61.931820286058056
b  Región Centro-Norte,2004 |  T2,52.07674224662452
c  Región Centro,2004 |  T2,54.28146242163128
d  Región Centro-Sur,2004 |  T2,53.78512898626797
e  Región Sur-Sureste,2004 |  T2,65.07914045414947
Estados Unidos Mexicanos,2004 |  T3,61.796229120330736
a  Región Norte,2004 |  T3,69.21104424091563
b  Región Centro-Norte,2004 |  T3,53.77029242727044
c  Región Centro,2004 |  T3,50.56874516917392
d  Región Centro-Sur,2004 |  T3,56.33421725076965
e  Región Sur-Sureste,2004 |  T3,67.44912992001565
Estados Unidos Mexicanos,2004 |  T4,58.418909572103175
a  Región Norte,2004 |  T4,59.75296894769048
b  Región Centro-Norte,2004 |  T4,54.28628467993551
c  Región Centro,2004 |  T4,56.00838072088153
d  Región Centro-Sur,2004 |  T4,59.69703061778985
e  Región Sur-Sureste,2004 |  T4,60.77149278292955
Estados Unidos Mexicanos,2004 |  6 Meses,56.52917822665631
a  Región Norte,2004 |  6 Meses,58.040071467326406
b  Región Centro-Norte,2004 |  6 Meses,50.93554377644514
c  Región Centro,2004 |  6 Meses,55.45928525972753
d  Región Centro-Sur,2004 |  6 Meses,53.39897460883991
e  Región Sur-Sureste,2004 |  6 Meses,63.34920088491166
Estados Unidos Mexicanos,2004 |  9 Meses,58.28486185788112
a  Región Norte,2004 |  9 Meses,61.76372905852281
b  Región Centro-Norte,2004 |  9 Meses,51.88045999338691
c  Región Centro,2004 |  9 Meses,53.829105229543
d  Región Centro-Sur,2004 |  9 Meses,54.377388822816485
e  Región Sur-Sureste,2004 |  9 Meses,64.715843896613
Estados Unidos Mexicanos,2004 |  Anual,58.31837378643662
a  Región Norte,2004 |  Anual,61.2610390308147
b  Región Centro-Norte,2004 |  Anual,52.48191616502405
c  Región Centro,2004 |  Anual,54.37392410237764
d  Región Centro-Sur,2004 |  Anual,55.70729927155983
e  Región Sur-Sureste,2004 |  Anual,63.72975611819213
Estados Unidos Mexicanos,2005 |  T1,58.22677776889935
a  Región Norte,2005 |  T1,60.501747104901725
b  Región Centro-Norte,2005 |  T1,50.82265759515746
c  Región Centro,2005 |  T1,59.49695432310741
d  Región Centro-Sur,2005 |  T1,58.37407084706003
e  Región Sur-Sureste,2005 |  T1,61.14181921840056
Estados Unidos Mexicanos,2005 |  T2,63.44832119806984
a  Región Norte,2005 |  T2,66.95262176733073
b  Región Centro-Norte,2005 |  T2,54.40657905628051
c  Región Centro,2005 |  T2,58.71478743644322
d  Región Centro-Sur,2005 |  T2,62.6865367332534
e  Región Sur-Sureste,2005 |  T2,70.2345100878108
Estados Unidos Mexicanos,2005 |  T3,66.13217592855607
a  Región Norte,2005 |  T3,71.75027887870496
b  Región Centro-Norte,2005 |  T3,55.42422779283736
c  Región Centro,2005 |  T3,61.42277792005619
d  Región Centro-Sur,2005 |  T3,62.818221574513935
e  Región Sur-Sureste,2005 |  T3,72.69901584671949
Estados Unidos Mexicanos,2005 |  T4,61.61523269929342
a  Región Norte,2005 |  T4,62.862865676251936
b  Región Centro-Norte,2005 |  T4,53.98847500413447
c  Región Centro,2005 |  T4,62.54233644220285
d  Región Centro-Sur,2005 |  T4,56.110336329702925
e  Región Sur-Sureste,2005 |  T4,72.25388213391051
Estados Unidos Mexicanos,2005 |  6 Meses,60.8375494834846
a  Región Norte,2005 |  6 Meses,63.72718443611621
b  Región Centro-Norte,2005 |  6 Meses,52.614618325718986
c  Región Centro,2005 |  6 Meses,59.10587087977531
d  Región Centro-Sur,2005 |  6 Meses,60.5303037901567
e  Región Sur-Sureste,2005 |  6 Meses,65.68816465310569
Estados Unidos Mexicanos,2005 |  9 Meses,62.602424965175096
a  Región Norte,2005 |  9 Meses,66.40154925031247
b  Región Centro-Norte,2005 |  9 Meses,53.55115481475845
c  Región Centro,2005 |  9 Meses,59.8781732265356
d  Región Centro-Sur,2005 |  9 Meses,61.29294305160912
e  Región Sur-Sureste,2005 |  9 Meses,68.02511505097696
Estados Unidos Mexicanos,2005 |  Anual,62.35562689870466
a  Región Norte,2005 |  Anual,65.51687835679733
b  Región Centro-Norte,2005 |  Anual,53.660484862102464
c  Región Centro,2005 |  Anual,60.544214030452416
d  Región Centro-Sur,2005 |  Anual,59.997291371132576
e  Región Sur-Sureste,2005 |  Anual,69.08230682171033
Estados Unidos Mexicanos,2006 |  T1,65.62256316621709
a  Región Norte,2006 |  T1,66.19254282294081
b  Región Centro-Norte,2006 |  T1,55.951911063580575
c  Región Centro,2006 |  T1,62.62679394702203
d  Región Centro-Sur,2006 |  T1,64.59058490640932
e  Región Sur-Sureste,2006 |  T1,78.47236966094474
Estados Unidos Mexicanos,2006 |  T2,72.0955779972278
a  Región Norte,2006 |  T2,74.68845953542164
b  Región Centro-Norte,2006 |  T2,60.80613882355499
c  Región Centro,2006 |  T2,68.88552438765706
d  Región Centro-Sur,2006 |  T2,69.87530027380602
e  Región Sur-Sureste,2006 |  T2,83.78134962465178
Estados Unidos Mexicanos,2006 |  T3,76.96569306985502
a  Región Norte,2006 |  T3,83.83278787537523
b  Región Centro-Norte,2006 |  T3,62.89437754808171
c  Región Centro,2006 |  T3,67.29937745957673
d  Región Centro-Sur,2006 |  T3,71.9339873170464
e  Región Sur-Sureste,2006 |  T3,89.44936790950177
Estados Unidos Mexicanos,2006 |  T4,71.95669491692772
a  Región Norte,2006 |  T4,74.0350177295905
b  Región Centro-Norte,2006 |  T4,62.1850330034849
c  Región Centro,2006 |  T4,70.57500799551788
d  Región Centro-Sur,2006 |  T4,73.40311921040653
e  Región Sur-Sureste,2006 |  T4,78.51814002372221
Estados Unidos Mexicanos,2006 |  6 Meses,68.85907058172245
a  Región Norte,2006 |  6 Meses,70.44050117918123
b  Región Centro-Norte,2006 |  6 Meses,58.37902494356778
c  Región Centro,2006 |  6 Meses,65.75615916733955
d  Región Centro-Sur,2006 |  6 Meses,67.23294259010767
e  Región Sur-Sureste,2006 |  6 Meses,81.12685964279825
Estados Unidos Mexicanos,2006 |  9 Meses,71.56127807776663
a  Región Norte,2006 |  9 Meses,74.90459674457922
b  Región Centro-Norte,2006 |  9 Meses,59.88414247840574
c  Región Centro,2006 |  9 Meses,66.27056526475194
d  Región Centro-Sur,2006 |  9 Meses,68.79995749908724
e  Región Sur-Sureste,2006 |  9 Meses,83.90102906503276
Estados Unidos Mexicanos,2006 |  Anual,71.6601322875569
a  Región Norte,2006 |  Anual,74.68720199083204
b  Región Centro-Norte,2006 |  Anual,60.45936510967553
c  Región Centro,2006 |  Anual,67.34667594744343
d  Región Centro-Sur,2006 |  Anual,69.95074792691707
e  Región Sur-Sureste,2006 |  Anual,82.55530680470514
Estados Unidos Mexicanos,2007 |  T1,71.44729209877725
a  Región Norte,2007 |  T1,70.87238957717518
b  Región Centro-Norte,2007 |  T1,65.67407552808632
c  Región Centro,2007 |  T1,74.67196257590409
d  Región Centro-Sur,2007 |  T1,71.8686267199276
e  Región Sur-Sureste,2007 |  T1,76.99299974973658
Estados Unidos Mexicanos,2007 |  T2,76.42194010508226
a  Región Norte,2007 |  T2,78.5864144258136
b  Región Centro-Norte,2007 |  T2,72.30570371831008
c  Región Centro,2007 |  T2,69.81323696175411
d  Región Centro-Sur,2007 |  T2,73.57881822883685
e  Región Sur-Sureste,2007 |  T2,83.3308772811745
Estados Unidos Mexicanos,2007 |  T3,81.55020349014744
a  Región Norte,2007 |  T3,88.58435712013069
b  Región Centro-Norte,2007 |  T3,73.50093609923124
c  Región Centro,2007 |  T3,73.36929852320648
d  Región Centro-Sur,2007 |  T3,80.62149379456682
e  Región Sur-Sureste,2007 |  T3,82.05371224750292
Estados Unidos Mexicanos,2007 |  T4,77.06408298078323
a  Región Norte,2007 |  T4,79.86468859533157
b  Región Centro-Norte,2007 |  T4,67.26849051248749
c  Región Centro,2007 |  T4,79.85414259600022
d  Región Centro-Sur,2007 |  T4,81.62754882814144
e  Región Sur-Sureste,2007 |  T4,76.735366667967
Estados Unidos Mexicanos,2007 |  6 Meses,73.93461610192976
a  Región Norte,2007 |  6 Meses,74.72940200149439
b  Región Centro-Norte,2007 |  6 Meses,68.9898896231982
c  Región Centro,2007 |  6 Meses,72.24259976882911
d  Región Centro-Sur,2007 |  6 Meses,72.72372247438224
e  Región Sur-Sureste,2007 |  6 Meses,80.16193851545555
Estados Unidos Mexicanos,2007 |  9 Meses,76.47314523133566
a  Región Norte,2007 |  9 Meses,79.34772037437318
b  Región Centro-Norte,2007 |  9 Meses,70.49357178187589
c  Región Centro,2007 |  9 Meses,72.61816602028823
d  Región Centro-Sur,2007 |  9 Meses,75.35631291444376
e  Región Sur-Sureste,2007 |  9 Meses,80.79252975947134
Estados Unidos Mexicanos,2007 |  Anual,76.62087966869754
a  Región Norte,2007 |  Anual,79.47696242961277
b  Región Centro-Norte,2007 |  Anual,69.68730146452879
c  Región Centro,2007 |  Anual,74.42716016421623
d  Región Centro-Sur,2007 |  Anual,76.92412189286819
e  Región Sur-Sureste,2007 |  Anual,79.77823898659526
Estados Unidos Mexicanos,2008 |  T1,75.58608773895617
a  Región Norte,2008 |  T1,75.86222446446381
b  Región Centro-Norte,2008 |  T1,72.01652575017378
c  Región Centro,2008 |  T1,77.5901819938527
d  Región Centro-Sur,2008 |  T1,74.39818512099528
e  Región Sur-Sureste,2008 |  T1,78.98585321672707
Estados Unidos Mexicanos,2008 |  T2,80.5542103890014
a  Región Norte,2008 |  T2,83.21010851934767
b  Región Centro-Norte,2008 |  T2,75.8572347571259
c  Región Centro,2008 |  T2,72.28050415709069
d  Región Centro-Sur,2008 |  T2,71.83957188535656
e  Región Sur-Sureste,2008 |  T2,93.43012468175388
Estados Unidos Mexicanos,2008 |  T3,83.20528534903777
a  Región Norte,2008 |  T3,88.91604345696688
b  Región Centro-Norte,2008 |  T3,73.88583676303023
c  Región Centro,2008 |  T3,74.38523074476512
d  Región Centro-Sur,2008 |  T3,78.19122163973257
e  Región Sur-Sureste,2008 |  T3,92.04649861621816
Estados Unidos Mexicanos,2008 |  T4,76.12394945034701
a  Región Norte,2008 |  T4,80.55630406116806
b  Región Centro-Norte,2008 |  T4,63.52649240860501
c  Región Centro,2008 |  T4,81.16464914542854
d  Región Centro-Sur,2008 |  T4,74.3105968905028
e  Región Sur-Sureste,2008 |  T4,79.97336000631056
Estados Unidos Mexicanos,2008 |  6 Meses,78.0701490639788
a  Región Norte,2008 |  6 Meses,79.53616649190573
b  Región Centro-Norte,2008 |  6 Meses,73.93688025364983
c  Región Centro,2008 |  6 Meses,74.93534307547169
d  Región Centro-Sur,2008 |  6 Meses,73.11887850317592
e  Región Sur-Sureste,2008 |  6 Meses,86.20798894924046
Estados Unidos Mexicanos,2008 |  9 Meses,79.78186115899845
a  Región Norte,2008 |  9 Meses,82.66279214692611
b  Región Centro-Norte,2008 |  9 Meses,73.91986575677664
c  Región Centro,2008 |  9 Meses,74.75197229856948
d  Región Centro-Sur,2008 |  9 Meses,74.80965954869481
e  Región Sur-Sureste,2008 |  9 Meses,88.15415883823303
