Concepto,Fecha,Valor
Estados Unidos Mexicanos,2003 |  T1,67.31046733624581
a  Región Norte,2003 |  T1,67.80010016760069
b  Región Centro-Norte,2003 |  T1,64.06808863019143
c  Región Centro,2003 |  T1,66.62717826532155
d  Región Centro-Sur,2003 |  T1,66.36432823758001
e  Región Sur-Sureste,2003 |  T1,73.16846078522029
Estados Unidos Mexicanos,2003 |  T2,69.28756553372402
a  Región Norte,2003 |  T2,69.28165124239149
b  Región Centro-Norte,2003 |  T2,64.81509641520861
c  Región Centro,2003 |  T2,71.24215820445603
d  Región Centro-Sur,2003 |  T2,66.82948853275626
e  Región Sur-Sureste,2003 |  T2,74.6041644770448
Estados Unidos Mexicanos,2003 |  T3,69.51453776697213
a  Región Norte,2003 |  T3,69.45420117120103
b  Región Centro-Norte,2003 |  T3,64.99332611293093
c  Región Centro,2003 |  T3,71.67196466832718
d  Región Centro-Sur,2003 |  T3,66.66786488914727
e  Región Sur-Sureste,2003 |  T3,75.03031176780456
Estados Unidos Mexicanos,2003 |  T4,69.95219655207697
a  Región Norte,2003 |  T4,70.35398642969827
b  Región Centro-Norte,2003 |  T4,66.08003128379701
c  Región Centro,2003 |  T4,70.82276210660751
d  Región Centro-Sur,2003 |  T4,67.13937518618907
e  Región Sur-Sureste,2003 |  T4,75.98417501694368
Estados Unidos Mexicanos,2003 |  6 Meses,68.29901643498492
a  Región Norte,2003 |  6 Meses,68.54087570499607
b  Región Centro-Norte,2003 |  6 Meses,64.44159252270002
c  Región Centro,2003 |  6 Meses,68.93466823488879
d  Región Centro-Sur,2003 |  6 Meses,66.59690838516813
e  Región Sur-Sureste,2003 |  6 Meses,73.88631263113254
Estados Unidos Mexicanos,2003 |  9 Meses,68.70419021231399
a  Región Norte,2003 |  9 Meses,68.8453175270644
b  Región Centro-Norte,2003 |  9 Meses,64.62550371944366
c  Región Centro,2003 |  9 Meses,69.84710037936826
d  Región Centro-Sur,2003 |  9 Meses,66.62056055316118
e  Región Sur-Sureste,2003 |  9 Meses,74.26764567668988
Estados Unidos Mexicanos,2003 |  Anual,69.01619179725473
a  Región Norte,2003 |  Anual,69.22248475272286
b  Región Centro-Norte,2003 |  Anual,64.989135610532
c  Región Centro,2003 |  Anual,70.09101581117807
d  Región Centro-Sur,2003 |  Anual,66.75026421141816
