Concepto,Fecha,Valor
Estados Unidos Mexicanos,2003 |  T1,67.14251957711875
a  Región Norte,2003 |  T1,66.38198633758246
b  Región Centro-Norte,2003 |  T1,65.90755699031502
c  Región Centro,2003 |  T1,66.52854824399735
d  Región Centro-Sur,2003 |  T1,67.70723724920998
e  Región Sur-Sureste,2003 |  T1,70.92582123017081
Estados Unidos Mexicanos,2003 |  T2,69.57976831344124
a  Región Norte,2003 |  T2,68.22335560986404
b  Región Centro-Norte,2003 |  T2,67.40891470341504
c  Región Centro,2003 |  T2,70.35045215464373
d  Región Centro-Sur,2003 |  T2,69.17682668750203
e  Región Sur-Sureste,2003 |  T2,73.29063312839577
Estados Unidos Mexicanos,2003 |  T3,67.8034730886853
a  Región Norte,2003 |  T3,67.36915374598136
b  Región Centro-Norte,2003 |  T3,66.13233139900599
c  Región Centro,2003 |  T3,66.77167903652386
d  Región Centro-Sur,2003 |  T3,68.65238232132572
e  Región Sur-Sureste,2003 |  T3,72.27695812197081
Estados Unidos Mexicanos,2003 |  T4,69.52772261707129
a  Región Norte,2003 |  T4,68.97285130287428
b  Región Centro-Norte,2003 |  T4,68.02103221739301
c  Región Centro,2003 |  T4,69.11568190451617
d  Región Centro-Sur,2003 |  T4,69.64232110912349
e  Región Sur-Sureste,2003 |  T4,73.26226009046064
Estados Unidos Mexicanos,2003 |  6 Meses,68.36114394527999
a  Región Norte,2003 |  6 Meses,67.30267097372325
b  Región Centro-Norte,2003 |  6 Meses,66.65823584686504
c  Región Centro,2003 |  6 Meses,68.43950019932052
d  Región Centro-Sur,2003 |  6 Meses,68.442031968356
e  Región Sur-Sureste,2003 |  6 Meses,72.10822717928329
Estados Unidos Mexicanos,2003 |  9 Meses,68.17525365974842
a  Región Norte,2003 |  9 Meses,67.32483189780929
b  Región Centro-Norte,2003 |  9 Meses,66.48293436424537
c  Región Centro,2003 |  9 Meses,67.88355981172164
d  Región Centro-Sur,2003 |  9 Meses,68.51214875267925
e  Región Sur-Sureste,2003 |  9 Meses,72.16447082684579
Estados Unidos Mexicanos,2003 |  Anual,68.51337089907913
a  Región Norte,2003 |  Anual,67.73683674907552
b  Región Centro-Norte,2003 |  Anual,66.86745882753226
c  Región Centro,2003 |  Anual,68.19159033492028
d  Región Centro-Sur,2003 |  Anual,68.79469184179031
e  Región Sur-Sureste,2003 |  Anual,72.4389181427495
Estados Unidos Mexicanos,2004 |  T1,68.82784722511758
a  Región Norte,2004 |  T1,67.9945387877315
b  Región Centro-Norte,2004 |  T1,67.73237040771147
c  Región Centro,2004 |  T1,67.67186974046476
d  Región Centro-Sur,2004 |  T1,69.74191820035306
e  Región Sur-Sureste,2004 |  T1,73.48853636996226
Estados Unidos Mexicanos,2004 |  T2,72.12813917865556
a  Región Norte,2004 |  T2,70.95669326448083
b  Región Centro-Norte,2004 |  T2,69.7408006593198
c  Región Centro,2004 |  T2,72.7771269505176
d  Región Centro-Sur,2004 |  T2,71.69049770612187
e  Región Sur-Sureste,2004 |  T2,76.11089717017602
Estados Unidos Mexicanos,2004 |  T3,70.35525284632969
a  Región Norte,2004 |  T3,70.48701352070682
b  Región Centro-Norte,2004 |  T3,68.3024315007647
c  Región Centro,2004 |  T3,69.11672181375614
d  Región Centro-Sur,2004 |  T3,70.62428475028385
e  Región Sur-Sureste,2004 |  T3,75.3729453245336
Estados Unidos Mexicanos,2004 |  T4,72.3920288321554
a  Región Norte,2004 |  T4,71.52507182237838
b  Región Centro-Norte,2004 |  T4,69.69483832795014
c  Región Centro,2004 |  T4,72.92533602945674
d  Región Centro-Sur,2004 |  T4,71.42180527906652
e  Región Sur-Sureste,2004 |  T4,77.02386666573634
Estados Unidos Mexicanos,2004 |  6 Meses,70.47799320188659
a  Región Norte,2004 |  6 Meses,69.47561602610615
b  Región Centro-Norte,2004 |  6 Meses,68.73658553351565
c  Región Centro,2004 |  6 Meses,70.22449834549118
d  Región Centro-Sur,2004 |  6 Meses,70.71620795323747
e  Región Sur-Sureste,2004 |  6 Meses,74.79971677006914
