country_name,country_code,year,quarter,year_quarter,gdp,cnsmpt,hfce,gov,capf,exports,imports,int_rate,ex_rate,unemp,prices,ind_prod,countrycode,countryflag,country,continent,quarter_date,cnsmpt_s,gov_s,capf_s,exports_s,imports_s,naim,amlo_win,base_gdp,base_cnsmpt,base_hfce,base_gov,base_capf,base_imports,base_exports,base_int_rate,base_ex_rate,base_cnsmpt_s,base_gov_s,base_capf_s,base_imports_s,base_exports_s,base_unemp,base_prices,gdpi,cnsmpti,hfcei,govi,capfi,importsi,exportsi,cnsmpt_si,gov_si,capf_si,imports_si,exports_si,int_rate_i,ex_rate_i,unemp_i,prices_i
Brazil,223,2021,3,2021 Q3,304221900000,204025300000,NA,55271400000,59002900000,40683800000,41471300000,4.86333333333333,0.191250414945097,13.1633448963038,188.854352150757,83.650810333793,BRA,🇧🇷,Brazil,Americas,2021-09-30,0.670646327565504,0.18168120046584418,0.19394691835137445,0.13373067487909318,0.13631924591885067,0,0,299268600000,202281000000,NA,55246200000,53547900000,43385700000,42595000000,6.40000000000096,0.252669021755938,0.675917887810482,0.1846040647097624,0.17892922946142695,0.14497244281558438,0.14233033468930587,12.1058202401065,162.663666367439,101.65513521966554,100.86231529407112,NA,100.04561399698079,110.18714085893191,95.58748619936985,95.51308839065618,99.22008866164879,98.41668478507579,108.39308867262795,94.03114362379806,93.9579571501852,75.98958333332189,75.692070842714,108.73567123269952,116.10112840082934
Brazil,223,2021,4,2021 Q4,307144300000,204497700000,NA,55852800000,59462800000,40533500000,42436000000,7.57,0.179144698561199,11.5935621078639,194.939965029211,83.4498874846351,BRA,🇧🇷,Brazil,Americas,2021-12-31,0.6658033373889732,0.18184547133057655,0.1935989044888673,0.1319689149367252,0.13816307188510416,0,0,299268600000,202281000000,NA,55246200000,53547900000,43385700000,42595000000,6.40000000000096,0.252669021755938,0.675917887810482,0.1846040647097624,0.17892922946142695,0.14497244281558438,0.14233033468930587,12.1058202401065,162.663666367439,102.63164929431288,101.09585181010574,NA,101.09799407018039,111.04599806901858,97.81102990155742,95.16023007395235,98.50358296415662,98.50567029305505,108.1985906224465,95.30298945218007,92.72016062127676,118.28124999998226,70.90093487370258,95.7684971188859,119.84235286376952
Brazil,223,2022,1,2022 Q1,310150600000,207772800000,NA,55836900000,58575000000,44273500000,41415000000,10.2633333333333,0.191116089280194,11.1859129738453,199.97040727456601,84.4106230595922,BRA,🇧🇷,Brazil,Americas,2022-03-31,0.669909392404851,0.18003157175900997,0.18885986356305615,0.14274839384479668,0.13353190353331576,0,0,299268600000,202281000000,NA,55246200000,53547900000,43385700000,42595000000,6.40000000000096,0.252669021755938,0.675917887810482,0.1846040647097624,0.17892922946142695,0.14497244281558438,0.14233033468930587,12.1058202401065,162.663666367439,103.63619838499596,102.71493615317307,NA,101.06921381018061,109.388043228586,95.45771993998022,103.94060335720154,99.11106134132736,97.52308110986539,105.55003457597185,92.10847312766755,100.29372456434069,160.36458333330876,75.63890814632585,92.40111576071853,122.93489489094343
Brazil,223,2022,2,2022 Q2,314178400000,211617100000,NA,55484100000,60420700000,42716900000,43878200000,12.35,0.203245487447159,9.88509465764196,206.042534860418,84.407539966488,BRA,🇧🇷,Brazil,Americas,2022-06-30,0.6735571255057636,0.17660061926599666,0.19231334808503703,0.1359638345602371,0.13966014213580563,0,0,299268600000,202281000000,NA,55246200000,53547900000,43385700000,42595000000,6.40000000000096,0.252669021755938,0.675917887810482,0.1846040647097624,0.17892922946142695,0.14497244281558438,0.14233033468930587,12.1058202401065,162.663666367439,104.98207964350419,104.61541123486636,NA,100.43061785244957,112.83486373882077,101.13516665629459,100.28618382439254,99.65073238224754,95.66453455055343,107.48011862784857,96.33564795032365,95.52695485262068,192.96874999997107,80.43941676533701,81.6557198238638,126.66782906207892
Brazil,223,2022,3,2022 Q3,317484600000,213548200000,NA,56685900000,62062300000,44071000000,46124100000,13.46,0.190544897538451,8.90732277653778,205.181509630345,84.1152520798219,BRA,🇧🇷,Brazil,Americas,2022-09-30,0.6726253808846161,0.17854692794548144,0.19548129263592628,0.1388130321911677,0.1452798025479031,0,0,299268600000,202281000000,NA,55246200000,53547900000,43385700000,42595000000,6.40000000000096,0.252669021755938,0.675917887810482,0.1846040647097624,0.17892922946142695,0.14497244281558438,0.14233033468930587,12.1058202401065,162.663666367439,106.08683971522572,105.57007331385549,NA,102.6059710894143,115.90053017952151,106.31175709968952,103.4651954454748,99.51288359351882,96.7188497318279,109.25062004923439,100.21201252206924,97.52877522151823,210.31249999996845,75.41284492030255,73.57884554594558,126.13850050991901
Brazil,223,2022,4,2022 Q4,317114000000,214004000000,NA,56008500000,61301400000,46291200000,43928300000,13.65,0.190287934476368,8.10118547694251,206.73403069777,83.9815597368014,BRA,🇧🇷,Brazil,Americas,2022-12-31,0.6748487925477904,0.17661944915708547,0.19331029219775853,0.14597652579198647,0.1385252622085433,0,0,299268600000,202281000000,NA,55246200000,53547900000,43385700000,42595000000,6.40000000000096,0.252669021755938,0.675917887810482,0.1846040647097624,0.17892922946142695,0.14497244281558438,0.14233033468930587,12.1058202401065,162.663666367439,105.96300447156834,105.79540342394984,NA,101.37982340866883,114.47955942249837,101.25064249280294,108.67754431271277,99.84183060073248,95.67473470032716,108.03729093319087,95.55282336295984,102.56178074100642,213.28124999996803,75.31114544788711,66.91975691249186,127.09293680297418
Brazil,223,2023,1,2023 Q1,321679600000,216128100000,NA,56186700000,59508100000,46403200000,42445700000,13.65,0.192529451968142,8.10118547694251,210.639628298244,83.9543336962396,BRA,🇧🇷,Brazil,Americas,2023-03-31,0.6718738148144925,0.1746666558898979,0.18499183659765805,0.14425285283866307,0.13195023868470365,0,0,299268600000,202281000000,NA,55246200000,53547900000,43385700000,42595000000,6.40000000000096,0.252669021755938,0.675917887810482,0.1846040647097624,0.17892922946142695,0.14497244281558438,0.14233033468930587,12.1058202401065,162.663666367439,107.4885905170138,106.84547733103949,NA,101.70237953017582,111.13059522408908,97.83338749864586,108.94048597253199,99.40169167454799,94.61690681866173,103.38827096862788,91.01746243770899,101.35074378455857,213.28124999996803,76.19828130498446,66.91975691249186,129.49396322005472
Brazil,223,2023,2,2023 Q2,324847700000,217983200000,NA,56761900000,59324400000,48008600000,44166400000,13.65,0.201988361185794,8.10118547694251,213.787052781275,84.2421863052005,BRA,🇧🇷,Brazil,Americas,2023-06-30,0.671031994377673,0.17473388298578071,0.1826221949547434,0.14778802497293347,0.1359603284862414,0,0,299268600000,202281000000,NA,55246200000,53547900000,43385700000,42595000000,6.40000000000096,0.252669021755938,0.675917887810482,0.1846040647097624,0.17892922946142695,0.14497244281558438,0.14233033468930587,12.1058202401065,162.663666367439,108.5472047518517,107.76256791295278,NA,102.74353711205477,110.78753788663983,101.7994408295821,112.70947294283367,99.27714689595862,94.65332372854317,102.06392522028524,93.7835673081628,103.83452360703096,213.28124999996803,79.94187802765222,66.91975691249186,131.4288910089817
Brazil,223,2023,3,2023 Q3,325317200000,220367200000,NA,57067200000,57824900000,49425200000,43221400000,13.27,0.2049240963622,8.10118547694251,214.607515107407,84.296949781533,BRA,🇧🇷,Brazil,Americas,2023-09-30,0.6773917886911605,0.17542017452504816,0.17774928592770378,0.1519292555081625,0.13285925244653526,0,0,299268600000,202281000000,NA,55246200000,53547900000,43385700000,42595000000,6.40000000000096,0.252669021755938,0.675917887810482,0.1846040647097624,0.17892922946142695,0.14497244281558438,0.14233033468930587,12.1058202401065,162.663666367439,108.70408723133667,108.94112645280576,NA,103.2961543056355,107.98724132972535,99.6213037936463,116.03521540086865,100.21805916180926,95.02508777412172,99.34055294527631,91.644487646208745,106.74411455562878,207.3437499999689,81.1037676633519,66.91975691249186,131.93328288975897
Brazil,223,2023,4,2023 Q4,NA,220367200000,NA,57067200000,57824900000,49425200000,43221400000,12.23,0.201903032223003,8.10118547694251,216.466344963952,84.296949781533,BRA,🇧🇷,Brazil,Americas,2023-12-31,0.6773917886911605,0.17542017452504816,0.17774928592770378,0.1519292555081625,0.13285925244653526,0,0,299268600000,202281000000,NA,55246200000,53547900000,43385700000,42595000000,6.40000000000096,0.252669021755938,0.675917887810482,0.1846040647097624,0.17892922946142695,0.14497244281558438,0.14233033468930587,12.1058202401065,162.663666367439,NA,108.94112645280576,NA,103.2961543056355,107.98724132972535,99.6213037936463,116.03521540086865,100.21805916180926,95.02508777412172,99.34055294527631,91.644487646208745,106.74411455562878,191.09374999997135,79.90810698512473,66.91975691249186,133.07602723953042
