Concepto,2003 |  T1,2003 |  T2,2003 |  T3,2003 |  T4,2003 |  6 Meses,2003 |  9 Meses,2003 |  Anual,2004 |  T1,2004 |  T2,2004 |  T3,2004 |  T4,2004 |  6 Meses,2004 |  9 Meses,2004 |  Anual,2005 |  T1,2005 |  T2,2005 |  T3,2005 |  T4,2005 |  6 Meses,2005 |  9 Meses,2005 |  Anual,2006 |  T1,2006 |  T2,2006 |  T3,2006 |  T4,2006 |  6 Meses,2006 |  9 Meses,2006 |  Anual,2007 |  T1,2007 |  T2,2007 |  T3,2007 |  T4,2007 |  6 Meses,2007 |  9 Meses,2007 |  Anual,2008 |  T1,2008 |  T2,2008 |  T3,2008 |  T4,2008 |  6 Meses,2008 |  9 Meses,2008 |  Anual,2009 |  T1,2009 |  T2,2009 |  T3,2009 |  T4,2009 |  6 Meses,2009 |  9 Meses,2009 |  Anual,2010 |  T1,2010 |  T2,2010 |  T3,2010 |  T4,2010 |  6 Meses,2010 |  9 Meses,2010 |  Anual,2011 |  T1,2011 |  T2,2011 |  T3,2011 |  T4,2011 |  6 Meses,2011 |  9 Meses,2011 |  Anual,2012 |  T1,2012 |  T2,2012 |  T3,2012 |  T4,2012 |  6 Meses,2012 |  9 Meses,2012 |  Anual,2013 |  T1,2013 |  T2,2013 |  T3,2013 |  T4,2013 |  6 Meses,2013 |  9 Meses,2013 |  Anual,2014 |  T1,2014 |  T2,2014 |  T3,2014 |  T4,2014 |  6 Meses,2014 |  9 Meses,2014 |  Anual,2015 |  T1,2015 |  T2,2015 |  T3,2015 |  T4,2015 |  6 Meses,2015 |  9 Meses,2015 |  Anual,2016 |  T1,2016 |  T2,2016 |  T3,2016 |  T4,2016 |  6 Meses,2016 |  9 Meses,2016 |  Anual,2017 |  T1,2017 |  T2,2017 |  T3,2017 |  T4,2017 |  6 Meses,2017 |  9 Meses,2017 |  Anual,2018 |  T1,2018 |  T2,2018 |  T3,2018 |  T4,2018 |  6 Meses,2018 |  9 Meses,2018 |  Anual,2019 |  T1,2019 |  T2,2019 |  T3,2019 |  T4,2019 |  6 Meses,2019 |  9 Meses,2019 |  Anual,2020 |  T1,2020 |  T2,2020 |  T3,2020 |  T4,2020 |  6 Meses,2020 |  9 Meses,2020 |  Anual,2021 |  T1 P,2021 |  T2 P,2021 |  T3 P,2021 |  T4 P,2021 |  6 Meses P,2021 |  9 Meses P,2021 |  Anual P,2022 |  T1 R,2022 |  T2 R,2022 |  T3 R,2022 |  T4 R,2022 |  6 Meses R,2022 |  9 Meses R,2022 |  Anual R,2023 |  T1 R,2023 |  T2 R,2023 |  T3 R,2023 |  T4 P,2023 |  6 Meses,2023 |  9 Meses,2023 |  Anual
Índice de volumen físico base 2018=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,56.33635587816581,59.008577888524385,60.00793752482069,60.133801452573174,57.672466883345095,58.450957097170296,58.87166818602101,59.07419005714709,61.50539646481127,63.078153322101635,63.29528570238989,60.28979326097919,61.21924661468666,61.73825638661247,60.527121456282174,64.01515265774775,64.76703192933468,65.63630150099218,62.27113705701496,63.10310201445487,63.7364018860892,64.01329225181381,67.21080921952134,67.83203095789659,67.89158207725222,65.61205073566757,66.35204414307725,66.73692862662101,66.60396686570391,70.2938960778108,71.59743396167424,71.66901965882984,68.44893147175736,69.49843230172965,70.0410791410047,68.71200921267125,71.75081709272618,71.59272782787215,69.83658804819567,70.2314131526987,70.68518471108986,70.47303554536632,62.681678983915376,63.2790729476041,67.10242190666737,70.02455664158643,62.98037596575974,64.35439127939563,65.77193261994331,67.13909112685103,71.0236567961198,72.23094128269874,73.44231788220314,69.0813739614854,70.13122973522317,70.95900177196818,70.26317984176737,73.3787613518818,75.43137487499686,76.61606653587044,71.82097059682458,73.02443868954869,73.92234565112912,74.92077144622897,77.04134365917858,78.00900754745115,79.9204115480662,75.98105755270377,76.65704088428622,77.47288355023123,75.86639593111751,79.09961671517935,80.58275170272736,82.07645939301796,77.48300632314844,78.51625478300807,79.40630593551055,78.95421685879165,82.17943967044076,83.29500193445374,86.04788814647557,80.5668282646162,81.47621948789538,82.61913665254042,83.87203477387277,87.06801463868294,89.34706492415121,91.73099073863915,85.47002470627785,86.76237144556896,88.00452626883651,88.54964215540592,91.61267704523141,93.49718293250451,95.66895360981198,90.08115960031866,91.2198340443806,92.33211393573846,93.40318792127643,96.29095250734066,97.19537095143053,99.9425950263622,94.84707021430854,95.62983712668253,96.70802660160246,95.97469359502779,100.61276876736784,100.95628323215153,102.45625440545282,98.29373118119781,99.1812485315157,100.,97.37205342106397,100.42739587177152,102.61001662934983,102.70252935657854,98.89972464641774,100.13648864072844,100.77799881969096,96.9067465261125,67.47729016224902,82.66468963068904,91.31959825585348,82.19201834418075,82.34957543968353,84.592081143726,89.27296486425061,96.08257832975458,97.35022524808444,102.88157497271824,92.6777715970026,94.23525614736322,96.39683585370197,103.70208574944009,110.1185352913818,109.51750907901292,113.18034952723868,106.91031052041092,107.7793767066116,109.12961991176837,110.83346607892553,115.62022138199912,113.78042156052817,114.67331038803712,113.22684373046232,113.41136967381762,113.72685485237251
a  Región Norte,56.319810161236994,58.548956164569276,58.806736551026994,59.06878287692721,57.43438316290314,57.89183429227776,58.18607143844012,59.44464593581322,61.89213022843995,62.70446131496844,62.76611838873758,60.66838808212659,61.34707915974054,61.70183896698981,61.33505282341437,64.28680640545679,64.80996360213909,65.59161203212712,62.81092961443559,63.47727427700342,64.00585871578434,64.71915379256059,67.2415292503425,68.0321127792231,68.33493291713918,65.98034152145154,66.66426527404205,67.08193218481634,67.17329490067924,69.99129718450969,71.09333575637697,71.86548526277596,68.58229604259446,69.41930928052199,70.03085327608548,69.57944195951052,71.745428333742,70.83898481805629,67.59568910629552,70.66243514662627,70.72128503710294,69.93988605440109,61.7552398948393,61.60866726293725,63.48439865142823,65.65995944822015,61.68195357888827,62.28276860306826,63.12706631435624,65.34720020219463,68.578885821291,69.74774531977852,70.29489698825506,66.96304301174281,67.89127711442137,68.49218208287982,68.84098435790223,71.99411995770683,73.84666753792357,74.87491857045441,70.41755215780452,71.56059061784421,72.38917260599678,74.5831652281504,76.85496813933585,77.73841510348852,78.70006758457473,75.71906668374314,76.39218282365826,76.96915401388738,76.5063144402017,78.84132555506898,79.21697161812648,80.35829983006056,77.67381999763533,78.18820387113239,78.73072786086445,78.9583053659057,82.20958428724687,83.59699638137545,85.5549933147534,80.5839448265763,81.58829534484268,82.57996983732035,84.1257466106687,86.77701123733347,88.48023189514646,89.58907935581641,85.45137892400108,86.46099658104954,87.24301727474126,87.9718032061955,90.88372832435357,92.24801757194767,93.67662366945059,89.42776576527453,90.36784970083225,91.19504319298683,93.35505985745706,96.9632192859379,97.70825549889908,99.52381724602327,95.15913957169748,96.00884488076467,96.88758797207933,97.08877150692074,100.76304480426576,100.94713744735219,101.20104624146136,98.92590815559325,99.59965125284623,100.,98.32546376500875,101.4944105324108,102.88201813701376,102.8185879411013,99.90993714870976,100.90063081147775,101.38012009388365,98.83897717321469,70.1907249594868,86.7318246418178,94.53785187621453,84.51485106635074,85.2538422581731,87.57484466268345,92.61217980891995,97.43311560375864,99.74636134657767,104.9765895092083,95.02264770633928,96.5972189197521,98.69206156711614,104.65636095733679,110.10796339822748,111.70690924778457,113.7530878191543,107.38216217778216,108.8237445344496,110.05608035562577,111.12974893983383,114.31103682022248,114.25308808671171,114.97324532883601,112.72039288002816,113.231291282256,113.66677979390101
b  Región Centro-Norte,55.30112133438876,57.87100173034466,58.45494052646723,58.18236346831824,56.586061532366706,57.209021197066875,57.45235676487972,58.298532632486655,60.69035626797922,61.68771979399301,61.19660110891814,59.49444445023293,60.22553623148629,60.46830245084425,60.13077898004359,62.91198363631041,63.090714300417794,63.274816900126595,61.52138130817699,62.044492305590595,62.3520734542246,63.6218347906408,66.83578559857956,66.88315374872238,66.38182724736168,65.22881019461018,65.78025804598091,65.9306503463261,65.51863844494032,69.13230637781987,69.91367974772616,70.44832324575066,67.3254724113801,68.18820819016213,68.75323695405926,69.37770517276866,71.74156439231906,70.93962928857131,68.17547714354045,70.55963478254385,70.68629961788633,70.05859399929987,63.11936225084277,63.32625118128534,65.88385722474801,67.9261458143097,63.22280671606405,64.10982355229203,65.06390411779647,67.86012495749799,71.5292146473159,72.33474440814803,72.99769105629159,69.69466980240695,70.57469467098731,71.18044376731339,71.4634844951137,73.96666304284636,74.41438279947945,75.04469211279267,72.71507376898003,73.28151011247984,73.72230561255805,74.9312347821904,76.61305253645739,77.64865513634007,78.67949862131752,75.7721436593239,76.39764748499594,76.96811026907633,77.01184961947118,78.80673526501569,80.1411298428704,81.07546294727132,77.90929244224344,78.65323824245243,79.25879441865715,80.3121224330626,82.51840763354016,83.8480492319602,85.63349097082835,81.4152650333014,82.22619309952101,83.07801756734783,84.20280227350372,87.00388377963264,89.1343227969779,89.86720459891563,85.60334302656818,86.78033628337141,87.5520533622575,89.15124953275979,91.58007022119307,93.4556039188462,94.81914887407356,90.36565987697642,91.39564122426636,92.25151813671816,93.03993845713974,95.25440175100168,96.82586932846891,98.71552635609658,94.14717010407071,95.04006984553678,95.95893397317674,97.59674151481101,100.60519540899686,101.2670481240334,100.5310149521588,99.10096846190393,99.82299501594709,100.,97.30957995547058,100.76402766651198,102.34689898933318,102.40856428555094,99.03680381099129,100.1401688704386,100.70726772421668,99.21868456663837,67.9754112683199,84.5798552348824,92.2425889806371,83.59704791747914,83.92465035661357,86.00413501261943,92.02324016700933,96.0894216143462,98.49946201818271,103.62243630597614,94.05633089067777,95.53737459984607,97.5586400263786,105.27334855301007,109.37863175134359,110.95630959047291,113.16221550618111,107.32599015217683,108.53609663160886,109.69262635025194,112.24964780770814,114.26533222414577,114.70599710464955,115.18117608798013,113.25749001592695,113.74032571216782,114.10053830612092
c  Región Centro,52.80472361440205,55.93370973296536,57.786516625240026,58.41657259752103,54.36921667368371,55.508316657535815,56.23538064253212,55.02272003176988,57.5444109221422,60.29421862296205,61.6562944196307,56.283565476956035,57.62044985895805,58.62941099912622,55.57359518672753,59.91442643258912,61.54675988536512,63.70480430020454,57.74401080965832,59.01159383489393,60.18489645122158,59.76047750247402,63.3849479819947,64.5925383559789,65.6830249753317,61.57271274223436,62.5793212801492,63.35524720394484,63.10069766989061,67.12679409248608,69.17957497193721,68.49005960644172,65.11374588118835,66.4690222447713,66.9742815851889,63.108387233163164,67.71129115009632,68.61115387008422,68.42576728483373,65.40983919162974,66.4769440844479,66.96414988454436,57.664343514574526,59.520566128257656,65.84342017296059,70.54108914296377,58.592454821416084,61.00944327193092,63.392354739689125,62.85030540887756,67.40584323790826,68.67406009055873,71.04976652386212,65.12807432339291,66.31006957911484,67.49499381530167,64.91208096796471,68.72007051121206,71.83883024866815,73.6948009070499,66.81607573958838,68.49032724261498,69.79144565872372,69.69707252336795,72.08877437970527,73.24907807464342,77.0213172088443,70.89292345153662,71.67830832590553,73.01406054664024,68.91930137791611,74.39248303769658,76.75934874265681,79.66257915977603,71.65589220780636,73.35704438608984,74.93342807951139,72.95562607834178,77.06595455167356,77.71728225236365,82.69562743408275,75.01079031500767,75.91295429412632,77.60862257911545,79.25430467228803,83.79133475742731,86.60391376615999,91.82189827763442,81.52281971485768,83.21651773195845,85.36786286837743,85.3095545417728,89.51355184117804,91.86170303796293,96.57005074659007,87.41155319147542,88.89493647363793,90.81371504187595,92.11691847488775,95.65792362817716,96.56088830210685,101.37297687573536,93.88742105153244,94.77857680172391,96.42717682022678,93.23778709088063,100.10629435011163,100.80179582355547,105.85412273545228,96.67204072049614,98.04862575484924,100.,97.01277454612993,100.36428964863427,104.70857647816393,105.55619097541718,98.6885320973821,100.6952135576427,101.91045791208634,95.51547757463503,68.31412406376936,82.59032484510979,92.47032124882088,81.91480081920218,82.13997549450472,84.72256193308377,88.27819527060647,97.84462515176868,98.30506818192202,104.59299606281137,93.06141021118756,94.80929620143237,97.25522116677713,105.7190809540908,114.0751256428117,110.72218845490205,117.44514026042177,109.89710329845124,110.17213168393485,111.9903838280566,113.6111920512803,121.10711858607092,116.94463545590934,119.40977471058784,117.35915531867562,117.22098203108686,117.76818020096212
d  Región Centro-Sur,60.98627401719845,63.34053747159679,64.10004249674373,63.40402832693349,62.163405744397615,62.80895132851298,62.95772057811813,63.659580573575106,65.81094001221336,66.75763987243259,65.44922824709431,64.73526029289424,65.40938681940703,65.41934717632886,65.63330213583923,68.8007401876405,68.85971852927868,67.97723467600846,67.21702116173986,67.76458695091948,67.81774888219174,67.28139424816703,70.44199475546982,70.78095680774682,69.39318164463363,68.86169450181843,69.50144860379457,69.47438186400434,70.00777290404903,73.48804115717826,74.68164294831251,74.61282712993867,71.74790703061366,72.72581900317996,73.19757103486963,73.43118287434815,75.12672025938728,74.81458993473655,72.63133713451637,74.27895156686772,74.45749768949067,74.00095755074709,69.58109839529183,70.45802157226451,73.83960479900124,75.21570771091105,70.01955998377818,71.2929082555192,72.27360811936717,74.91713583564791,77.97581316695177,79.09595529213706,79.75833358005585,76.44647450129983,77.32963476491226,77.93680946869816,78.24603935070853,80.42651273405215,82.70998742580846,83.01732060199214,79.33627604238033,80.46084650352306,81.09996502814032,82.41046008137018,83.92036253441158,84.61413499945827,85.41516168119446,83.16541130789086,83.64831920508,84.09002982410864,84.21020049970421,85.85793276018714,87.12137161952624,86.99102316027789,85.03406662994568,85.72983495980586,86.04513200992386,85.973374696153,88.02529397238679,89.03357828037332,89.82918800328115,86.99933433426989,87.67741564963771,88.2153587380486,88.6446903071348,90.9037464747189,92.46197465113801,93.70583073160635,89.77421839092685,90.67013714433055,91.42906054114952,93.15237152617246,94.80324462989972,96.3455679760988,96.17269550658669,93.97780807803609,94.76706137739032,95.11846990968942,95.2162547422226,96.76920810763747,97.76652632737417,99.34329902837496,95.99273142493003,96.58399639241141,97.27382205140229,98.6498691702005,100.77446127794842,100.8158210738189,99.75984847803215,99.71216522407447,100.08005050732261,100.,96.67401625939758,98.09397455708317,98.25226424495513,97.45073030369257,97.38399540824038,97.67341835381195,97.61774634128211,94.33592862074515,62.27414550072463,75.95735370234668,84.4779539666622,78.30503706073489,77.52247594127215,79.26134544761966,83.54975747218708,88.31928555152379,88.7313543627281,93.85831312302516,85.93452151185544,86.86679912881299,88.61467762736602,95.16355542734588,99.70428536278199,99.50664146836866,101.4694877875443,97.43392039506394,98.12482741949884,98.9609925115102,100.87383590899162,102.82777618524548,101.82650185208655,101.31311700178026,101.85080604711855,101.84270464877454,101.71030773702599
e  Región Sur-Sureste,64.59356150167564,67.29838856357634,68.07293554093357,67.61978743181409,65.94597503262598,66.6549618687285,66.89616825949992,67.84564343387261,70.2923649396704,71.24139825245666,70.63231899961599,69.06900418677151,69.7931355419999,70.00293140640393,70.17041726375567,73.42622631797799,73.32548136033498,72.93521888705166,71.79832179086682,72.30737498068953,72.46433595728007,73.54640146783737,76.97153819306827,76.31275604492428,74.67031495173406,75.2589698304528,75.6102319019433,75.37525266439098,74.76495594587286,79.78126224094333,79.90190189986527,80.33604441052488,77.2731090934081,78.14937336222715,78.69604112430159,79.34660453445105,81.65406432774111,80.82357959105698,79.27133191029517,80.50033443109606,80.60808281774969,80.27389509088607,73.65720588234575,72.07701222983161,74.48080996487836,76.1585063350521,72.86710905608868,73.40500935901858,74.09338360302695,76.43007823299288,80.84739310560649,82.59270631418887,82.86807666054486,78.63873566929969,79.95672588426275,80.68456357833327,81.3339643286311,83.89742641754687,84.82386466930002,85.8563060592927,82.615695373089,83.35175180515932,83.97789036869267,85.10384158569997,87.21642430538202,87.94690322175767,88.34930263692704,86.16013294554101,86.75572303761322,87.15411793744167,86.95762070506244,88.57091602590693,90.22784709748535,90.38864902325973,87.76426836548468,88.58546127615156,89.03625821292862,89.55789819782413,92.43244596750215,94.26508136319575,94.95003241945345,90.99517208266315,92.08514184284067,92.80136448699386,93.09671773688191,94.68330769791217,97.56220023789989,97.05951109237347,93.89001271739706,95.11407522423133,95.60043419126686,94.9876527375182,97.00181561411614,98.98100766031536,98.1171341328558,95.99473417581717,96.9901586706499,97.27190253620137,96.36402301705014,97.68880077316179,97.96460235230704,98.50815508522366,97.02641189510597,97.33914204750631,97.63139530693566,97.2981285100136,101.78052321379081,101.22067397900551,99.70067429719005,99.53932586190221,100.09977523426998,100.,97.10320769583606,100.11637630475265,100.0110054575371,98.96490793768815,98.60979200029435,99.0768631527086,99.04887434895348,96.47904361244595,63.04087195864933,77.67242529928879,85.79794094546361,79.75995778554764,79.06411362346137,80.74757045396194,86.9160467573956,95.31901585487702,96.10509538218675,100.83440603517526,91.11753130613631,92.78005266481979,94.79364100740867,101.73209940331166,109.21757767212821,109.05122210985797,110.24108739409533,105.47483853771995,106.66696639509927,107.5604966448483,109.67142510594192,116.17926079369425,113.73809616831598,111.8832156148422,112.92534294981809,113.19626068931738,112.86799942069858
Variación porcentual anual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,NA,NA,NA,NA,NA,NA,NA,4.859799921922843,4.231280714820372,5.116349476285592,5.2574162508421125,4.538259795489893,4.736089287493272,4.8692151741542204,2.459502868730908,4.080546321447372,2.6774382544285373,3.69856265379633,3.2863668771578602,3.077227349145886,3.236478670476359,5.759683777543657,4.9920314630177245,4.732344430892013,3.436026291374688,5.3651078758907005,5.148625067398655,4.70771278537876,4.047088538578805,4.587189016307789,5.551069237650921,5.5639262865893215,4.323719048988124,4.741961154757689,4.951007758942154,3.1650402313391623,2.0726138344966216,-0.006573048141106597,-2.55679737124521,2.6041044653513694,1.7075959414564608,0.6167186594769731,-8.776239114317448,-11.807174452346288,-6.272014012373788,0.269154892362522,-10.324492789535071,-8.956322965795394,-6.670782504319263,7.111188173627994,12.238775771775792,7.642823061088038,4.8808038273061385,9.687141275629358,8.976603369220456,7.886447828738483,4.653159079877554,3.315943816470295,4.430834674813667,4.321416786923578,3.9657529638402593,4.125421677687214,4.176135240295324,6.62877998825347,4.991338419754939,3.417189036691795,4.312861729398136,5.792301219698544,4.97450204332408,4.803064442595755,1.2621659743148967,2.6716474015644422,3.2992909872756115,2.6977436717215255,1.976741070500168,2.425366120678092,2.4956117504335964,4.070077258550313,3.893600352516472,3.3657950050303214,4.838694045561425,3.979997792814686,3.769875057168278,4.046064955646173,6.228695705862734,5.948659406594302,7.265817695112048,6.60458114031745,6.0858749776737255,6.487969116508793,6.518331992434952,5.5770763093376985,5.219669272818535,4.644940504622539,4.292947061253159,5.395031661552935,5.137552748437784,4.917460328894933,5.481157967134948,5.106580893602185,3.9554004761787525,4.4671142050746795,5.290685238884322,4.834478300142877,4.7393181844721255,2.7531240967050223,4.4882890318253885,3.869435595446589,2.5151031734042846,3.633914003987144,3.7137064242079134,3.404033268054519,1.4559669572194167,-0.18424390648162614,1.638068819743978,0.2403708319758806,0.6165128314264763,0.9631257151488484,0.7779988196909642,-0.4778649300321689,-32.80987764692624,-19.4379921705965,-11.083398989331641,-16.893582223782417,-17.762669175330416,-16.060963568967395,-7.877451194592425,42.39246730081217,17.765185695372708,12.661002608083251,12.757629589910493,14.433202167976305,13.954916997394974,16.16292335213751,14.608222641003593,12.498465000899301,10.010319687710307,15.357014608957883,14.372668057556254,13.20871576883549,6.876795464573334,4.996148991683768,3.892448355851201,1.319099001756598,5.9082544792024265,5.225482962790721,4.212637177991624
a  Región Norte,NA,NA,NA,NA,NA,NA,NA,5.548377676753873,5.710048962228626,6.628024258002057,6.25937311001303,5.63078201789115,5.968449453541808,6.04228373154443,3.180112956921903,3.8691125481999507,3.357818954212192,4.5016223974374725,3.5315616584515936,3.472365997598857,3.7341184434181542,5.517401246704992,4.59615745453317,4.971687990544808,4.1824263804774375,5.045956056487881,5.020680288084179,4.805924849303537,3.791985779024131,4.089389347362555,4.499673539594625,5.166541028024142,3.9435299380755424,4.132714873785119,4.39599903465006,3.5819994573572274,2.5062132290648975,-0.3577704374321229,-5.941372469507357,3.03305550274942,1.8755239285365093,-0.12989592076763756,-11.244991112783381,-14.128790232669658,-10.382116832303097,-2.863688030506509,-12.708989647898889,-11.932074522695018,-9.7409648833938,5.816446205167281,11.313698003895809,9.865962033822285,7.0590015269352335,8.561806373561566,9.004912012014856,8.498915095795368,5.346494027130873,4.980008198610221,5.876780961667464,6.515439638477005,5.1588293940822325,5.404690645660864,5.6896866249659865,8.341224234091072,6.751729425242715,5.270038168704588,5.108718763441459,7.528683351642229,6.7517500402089325,6.326887354851721,2.5785298950083018,2.5845530403862966,1.901963800869396,2.107027727395277,2.5815866458796393,2.3510534469475886,2.2886750797069197,3.2049523541229945,4.272199520320385,5.5291494660555,6.4669032267764095,3.746596767134065,4.348599028204077,4.889122812707143,6.544518934159285,5.555832680198989,5.841400678432677,4.715196489142087,6.040203303399878,5.972304257138617,5.646705183601981,4.5717949028449425,4.73249427292248,4.258336123334573,4.562547514747735,4.653391076122944,4.5186306823567435,4.529905133610939,6.119297837562627,6.689306296818415,5.91908430193935,6.241891890985755,6.408942186329881,6.2422589434265205,6.242164683277721,3.999474324331871,3.918831848107729,3.3148498373196276,1.685253883793436,3.9583886538378152,3.7400787151861152,3.2123949961656564,1.2737747515940754,0.725827340336636,1.9167266537604348,1.598344839025259,0.9947131256746218,1.3062089497972664,1.3801200938836473,0.522258821410901,-30.84276799945313,-15.697780610881736,-8.053734476134139,-15.40896383454269,-15.507126593231163,-13.617339788526337,-6.299941118757559,38.81195223442384,15.005491650275872,11.04186040387502,12.433077154379774,13.305413997914599,12.69453225666966,13.004964544908404,13.008767825936076,11.99096161477901,8.360433836704289,13.006914424905375,12.657223211420487,11.514622967705932,6.185374613909914,3.817229283220641,2.2793387231574798,1.0726368251396536,4.971245311123468,4.050170086190263,3.280781422169426
