Concepto,2003 |  T1,2003 |  T2,2003 |  T3,2003 |  T4,2003 |  6 Meses,2003 |  9 Meses,2003 |  Anual,2004 |  T1,2004 |  T2,2004 |  T3,2004 |  T4,2004 |  6 Meses,2004 |  9 Meses,2004 |  Anual,2005 |  T1,2005 |  T2,2005 |  T3,2005 |  T4,2005 |  6 Meses,2005 |  9 Meses,2005 |  Anual,2006 |  T1,2006 |  T2,2006 |  T3,2006 |  T4,2006 |  6 Meses,2006 |  9 Meses,2006 |  Anual,2007 |  T1,2007 |  T2,2007 |  T3,2007 |  T4,2007 |  6 Meses,2007 |  9 Meses,2007 |  Anual,2008 |  T1,2008 |  T2,2008 |  T3,2008 |  T4,2008 |  6 Meses,2008 |  9 Meses,2008 |  Anual,2009 |  T1,2009 |  T2,2009 |  T3,2009 |  T4,2009 |  6 Meses,2009 |  9 Meses,2009 |  Anual,2010 |  T1,2010 |  T2,2010 |  T3,2010 |  T4,2010 |  6 Meses,2010 |  9 Meses,2010 |  Anual,2011 |  T1,2011 |  T2,2011 |  T3,2011 |  T4,2011 |  6 Meses,2011 |  9 Meses,2011 |  Anual,2012 |  T1,2012 |  T2,2012 |  T3,2012 |  T4,2012 |  6 Meses,2012 |  9 Meses,2012 |  Anual,2013 |  T1,2013 |  T2,2013 |  T3,2013 |  T4,2013 |  6 Meses,2013 |  9 Meses,2013 |  Anual,2014 |  T1,2014 |  T2,2014 |  T3,2014 |  T4,2014 |  6 Meses,2014 |  9 Meses,2014 |  Anual,2015 |  T1,2015 |  T2,2015 |  T3,2015 |  T4,2015 |  6 Meses,2015 |  9 Meses,2015 |  Anual,2016 |  T1,2016 |  T2,2016 |  T3,2016 |  T4,2016 |  6 Meses,2016 |  9 Meses,2016 |  Anual,2017 |  T1,2017 |  T2,2017 |  T3,2017 |  T4,2017 |  6 Meses,2017 |  9 Meses,2017 |  Anual,2018 |  T1,2018 |  T2,2018 |  T3,2018 |  T4,2018 |  6 Meses,2018 |  9 Meses,2018 |  Anual,2019 |  T1,2019 |  T2,2019 |  T3,2019 |  T4,2019 |  6 Meses,2019 |  9 Meses,2019 |  Anual,2020 |  T1,2020 |  T2,2020 |  T3,2020 |  T4,2020 |  6 Meses,2020 |  9 Meses,2020 |  Anual,2021 |  T1 P,2021 |  T2 P,2021 |  T3 P,2021 |  T4 P,2021 |  6 Meses P,2021 |  9 Meses P,2021 |  Anual P,2022 |  T1 R,2022 |  T2 R,2022 |  T3 R,2022 |  T4 R,2022 |  6 Meses R,2022 |  9 Meses R,2022 |  Anual R,2023 |  T1 R,2023 |  T2 R,2023 |  T3 R,2023 |  T4 P,2023 |  6 Meses,2023 |  9 Meses,2023 |  Anual
Índice de volumen físico base 2018=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,67.31046733624581,69.28756553372402,69.51453776697213,69.95219655207697,68.29901643498492,68.70419021231399,69.01619179725473,68.43118814006256,71.65072131715013,71.93351860506732,73.68753503851309,70.04095472860635,70.67180935409333,71.42574077519828,68.49631913348298,75.03828820752818,74.64555439038509,76.78800994489046,71.76730367050557,72.72672057713207,73.74204291907168,75.88595912024557,79.04619753558693,78.09128364244596,79.06876547278702,77.46607832791625,77.67448009942616,78.02305144276637,77.01627873540018,80.75064580903225,80.44511457393901,80.32561637599149,78.88346227221622,79.40401303945717,79.63441387359073,76.11382681722033,82.53247398406775,82.02567569053275,78.64558049928564,79.32315040064405,80.22399216394027,79.82938924777662,67.01277708076438,68.98423064657237,72.21132015319822,76.64875398891246,67.99850386366838,69.4027759601783,71.21427046736186,74.13104540505012,77.8187613310685,79.45572821563994,83.98753270495169,75.97490336805932,77.13517831725284,78.84826691417756,81.77848652048705,84.03028842471396,85.59776054680017,86.1095778979236,82.9043874726005,83.80217849733374,84.37902834748118,86.73412935793927,87.28790798274837,85.50330551573673,90.74485822110371,87.01101867034382,86.50844761880812,87.56755026938202,84.7766959040447,90.45421816519926,87.38842963792766,89.55317041350763,87.615457034622,87.53978123572386,88.04312853016982,86.5980359622078,91.81241820339434,90.7838593798875,93.79355333254594,89.20522708280107,89.73143784849654,90.74696671950888,89.88584629862433,93.83751515228963,94.006133512707,93.66471073980149,91.86168072545698,92.57649832120698,92.84855142585562,90.12939599676834,95.30398434914098,93.51147302311087,97.5045257723591,92.71669017295466,92.9816177896734,94.11234478534479,92.8941739158484,95.85107106845338,95.06026769140648,100.89465838582274,94.3726224921509,94.6018375585694,96.17504276538274,96.01796509093423,100.76794145171522,99.73206879292664,103.48202466442389,98.39295327132473,98.83932511185868,100.,96.4348575147739,98.7451705226084,98.59824335722969,101.8278001466508,97.59001401869116,97.92609046487068,98.90151788531568,95.09860802515091,73.96599811344068,90.79354802517332,99.29490647824433,84.5323030692958,86.61938472125496,89.7882651605023,93.44621578063837,95.93018236627952,96.96820456465778,102.86950729476871,94.68819907345896,95.44820090385858,97.3035275015861,98.21240885340468,102.79833642878427,104.32222080793724,106.96971371538768,100.5053726410945,101.7776553633754,103.07566995137847,102.8483721294091,106.40057081805597,108.24098024945042,111.27447316492105,104.62447147373256,105.82997439897184,107.19109909045915
a  Región Norte,67.80010016760069,69.28165124239149,69.45420117120103,70.35398642969827,68.54087570499607,68.8453175270644,69.22248475272286,68.63763754920284,71.51573742382713,72.44406612447037,72.94595889245727,70.07668748651498,70.86581369916678,71.38584999748942,70.006148861871,75.14938059908353,74.29877603026307,76.73452162084541,72.57776473047727,73.1514351637392,74.04720677801576,75.67762969297227,78.90558091757856,78.81507984229853,80.40898507119655,77.29160530527541,77.79943015094977,78.45181888101148,77.3526265391458,81.54709584061871,81.5546055833001,81.92480818733398,79.44986118988227,80.15144265435488,80.59478403759965,78.93367094557075,84.70752441998054,82.87621547095722,77.99162168446448,81.82059768277566,82.17247027883617,81.12725813024323,67.93735938255672,69.4942490974717,71.60846356015837,75.84600061977471,68.71580424001421,69.68002401339561,71.22151816499037,73.09250825096233,77.93201652037939,79.70630893899698,83.20525732275503,75.51226238567085,76.91027790344623,78.48402275827343,79.62490886812824,83.09240242345386,86.30596670438969,87.56455362364726,81.35865564579105,83.0077593319906,84.14695790490477,85.49425706919716,88.19088269812643,87.5113794826917,90.21552299874517,86.8425698836618,87.06550641667175,87.85301056219012,84.39598822670801,91.47286316169561,89.2241653733183,90.72468194809646,87.9344256942018,88.36433892057396,88.9544246774546,85.80280559212913,92.5911486041749,91.63495083912989,94.74940577927555,89.19697709815202,90.00963501181131,91.19457770367737,90.60672963462474,94.19780309159368,95.71556578881051,94.73269474219869,92.4022663631092,93.50669950500965,93.81319831430692,92.32118915272005,98.31876537988423,98.00104612712077,100.94996474871509,95.31997726630213,96.21366688657501,97.39774135211002,95.66265278757653,100.0633050765607,97.66631609724837,100.74542736482842,97.86297893206861,97.79742465379519,98.53442533155348,95.59336780007052,101.14781460526953,99.71505929766171,103.54375829699829,98.37059120267003,98.81874723433393,100.,96.07948685127519,98.54754440321511,98.43135641405838,101.30035621610796,97.31351562724515,97.68612922284959,98.58968597116417,95.96427760633853,77.1316712339561,91.40132635923399,98.17257217502485,86.54797442014731,88.16575839984286,90.66746184363838,94.29887267691855,96.34164830309334,96.91314636660623,101.6749186306062,95.32026049000594,95.8512224488727,97.30714649430608,97.35672079262855,102.82924603235384,103.02715566783993,106.46138199095878,100.0929834124912,101.07104083094076,102.41862612094528,101.10701589341069,105.67636979234874,106.48364991968661,111.01104856837398,103.3916928428797,104.42234520181535,106.06952104345501
b  Región Centro-Norte,64.06808863019143,64.81509641520861,64.99332611293093,66.08003128379701,64.44159252270002,64.62550371944366,64.989135610532,66.05065199372287,66.90607023635462,67.06929490579527,68.27550713894645,66.47836111503874,66.67533904529091,67.0753810687048,64.50699860147834,69.64371918026988,70.05763946433535,71.01286322010625,67.07535889087411,68.06945241536118,68.80530511654747,70.59627245921266,72.30414117902949,72.53676886433662,74.0205805925288,71.45020681912108,71.81239416752625,72.3644407737769,72.72740283764357,75.41898726675245,75.09629629106117,75.31152968684279,74.07319505219802,74.41422879848574,74.638554020575,72.33856073048034,77.45892185342748,76.50138109077514,73.7268962637476,74.89874129195391,75.43295455822764,75.00643998460764,64.71532387171293,66.15192582511727,68.64119239451381,72.04496160955881,65.43362484841508,66.502814030448,67.88835092522568,70.76382266745618,74.20059588863137,75.71872101123556,79.1986314797972,72.48220927804378,73.56104652244105,74.97044276178009,78.14180618927166,79.57382660711112,80.56615258569308,81.83280510626982,78.85781639819139,79.42726179402528,80.02864762208642,81.97434179536987,82.31465365581141,80.95953548569649,87.02563071848807,82.14449772559064,81.7495103122926,83.06854041384148,81.72717109667866,84.45698432681688,83.0312058678771,86.53469635763352,83.09207771174778,83.07178709712421,83.93751441225155,83.25208158103979,86.30617009524218,85.2966273771076,89.46981723310623,84.77912583814098,84.95162635112985,86.08117407162395,83.76187906840812,87.74090326205783,88.59952466706712,90.13206618372375,85.75139116523296,86.70076899917767,87.5585932953142,87.53376946260325,91.79442844986005,89.90412128075856,93.11418101183635,89.66409895623165,89.74410639774062,90.58662505126456,89.08109985946311,90.59633423799231,93.83144722666766,99.10641888717066,89.8387170487277,91.16962710804103,93.15382505282345,96.93740377295812,101.09650587234718,99.02019171473079,102.94589863996386,99.01695482265265,99.01803378667869,100.,96.93838623134877,99.97966146131702,99.8147001715931,102.03151411045029,98.45902384633291,98.91091595475297,99.69106549367729,95.4805191391158,78.38381535540915,92.45644006825599,99.27400960453039,86.93216724726247,88.77359152092697,91.39869604182783,95.74310517147406,97.05361916339345,97.0310911230741,101.6436812601357,96.39836216743375,96.60927181931388,97.86787417951933,99.51371603622991,104.00989721572056,103.90396526679876,107.17985603953186,101.76180662597525,102.47585950624976,103.65185863957026,102.93741450074603,107.0033876595525,107.58054400508234,111.33827557180955,104.97040108014927,105.84044872179363,107.21490543429762
c  Región Centro,66.62717826532155,71.24215820445603,71.67196466832718,70.82276210660751,68.93466823488879,69.84710037936826,70.09101581117807,65.81066679250816,73.6164930632658,73.5357421490163,77.58354460369638,69.71357992788698,70.98763400159676,72.63661165212166,65.30306702149528,77.6268232269358,75.48339989477002,78.46752139526349,71.46494512421555,72.80443004773372,74.22020288461614,76.90784222819647,82.71290484930095,77.95185911831976,77.71666814924971,79.81037353874872,79.19086873193906,78.82231858626673,76.22443440005635,83.72854417642871,82.0442789847729,78.63100389808618,79.97648928824253,80.66575252041933,80.15706536483603,70.77139812862744,82.6920343166041,85.90266980616099,82.0807836104756,76.73171622261576,79.78870075046416,80.36172146546703,62.079947288071516,66.13356103745814,72.2152936523486,78.74677991449106,64.10675416276483,66.80960065929274,69.79389547309232,75.63161833950976,77.22257791068245,79.70182522950329,87.29057514485403,76.4270981250961,77.51867382656516,79.96164915613738,86.45019008176423,86.37012601194715,88.1018805083759,84.29566543060541,86.41015804685568,86.9740655340291,86.30446550817317,91.44500684857132,89.07428580377083,85.36421180305057,93.96585388125153,90.25964632617108,88.62783481846424,89.96233958416106,85.40875702118176,94.7838033681223,89.0968487665795,89.73076423717632,90.09628019465204,89.76313638529453,89.75504334826498,86.94935577711753,95.99809294472705,93.34008606386983,95.00257841752745,91.47372436092228,92.09584492857147,92.82252830081046,92.72796883017918,98.18118849124677,96.55832803637561,92.21406865973427,95.45457866071297,95.82249511926719,94.92038850438395,88.801103007905,95.79915806337058,91.60252293351743,97.05725321776816,92.30013053563778,92.06759466826433,93.3150093056403,93.15181194723698,98.17350335272597,93.49322039454235,103.16821872132623,95.66265764998147,94.93951189816843,96.99668860395789,96.07292693022004,100.0503882456742,100.0279775657678,103.84870725833792,98.06165758794712,98.71709758055401,100.,95.48504424142777,97.02669140102029,97.15227150977508,100.80340898643179,96.25586782122404,96.55466905074105,97.61685403466373,91.49218845288934,67.03046595686865,87.87799729215428,100.89170101493472,79.261327204879,82.13355056730408,86.82308817921175,90.32348131674836,93.32060321649007,95.49996835936282,104.1819850149982,91.82204226661922,93.04801763086708,95.83150947689987,98.60235151897044,100.95900265522542,106.36324871769574,105.16035505442322,99.78067708709794,101.97486763063056,102.77123948657871,104.50162546048472,105.45601254099424,111.12661364764251,109.45190649816978,104.97881900073946,107.02808388304048,107.6340395368228
d  Región Centro-Sur,66.36432823758001,66.82948853275626,66.66786488914727,67.13937518618907,66.59690838516813,66.62056055316118,66.75026421141816,68.23044886535794,68.69312521179548,68.49550004300589,69.09843017942896,68.46178703857672,68.47302470671977,68.62937607489707,68.01213611097286,71.01531335827443,72.17090795308509,74.16005544436659,69.51372473462364,70.3994524741108,71.33960321667475,73.36335163523005,75.35951295607094,76.02296229688015,77.24230840783824,74.3614322956505,74.91527562939372,75.49703382400486,75.42373999974168,75.45043660198658,76.60602432012446,78.68279384260866,75.43708830086413,75.82673364061758,76.54074869111534,76.64469502801781,78.5445921034667,75.82467438907359,74.32300501231485,77.59464356574225,77.00465384018604,76.33424163321823,68.3760967654115,68.69025922706923,70.7734389186412,73.9443971724119,68.53317799624037,69.27993163704065,70.44604802088345,71.5325533916876,76.00303328695138,77.21016431614467,79.78691039905999,73.7677933393195,74.91525033159455,76.13316534846092,78.26096303188294,81.96337887611215,81.7781475161825,83.76859444681595,80.11217095399755,80.66749647472588,81.44277096774837,82.35949757061378,83.59232474850305,82.80017775105442,84.60689996028485,82.97591115955841,82.91733335672373,83.33972500761404,83.29568473346826,85.42913404181154,83.24245248618057,85.95551016112297,84.3624093876399,83.9890904204868,84.48069535564584,85.67580262724255,88.79804686356707,87.77532723804133,91.2112242001618,87.23692474540479,87.41639224295031,88.36510023225318,88.57449516405468,90.66941931985913,90.59392344427131,94.3200154462445,89.6219572419569,89.94594597606171,91.03946334360741,88.63774950706204,91.35156251689604,90.75500562473916,95.87980732712096,89.99465601197903,90.24810588289907,91.65603124395454,91.04393625791913,91.15576802997386,92.5893923526528,99.03633196939826,91.0998521439465,91.5963655468486,93.456357152486,95.79615472385085,101.1456974310263,99.7153799265977,103.34276791852508,98.47092607743859,98.8857440271583,100.,97.49989587169458,99.39469124752917,98.48757085189523,103.57333525699033,98.44729355961186,98.46071932370633,99.73887330702732,97.40748486062148,74.47686281356289,91.65476767186925,100.31286265092065,85.94217383709218,87.84637178201787,90.96299449924355,94.22533915559029,97.80140387263026,98.05565940911669,104.09332824487372,96.01337151411028,96.6941341457791,98.54393267055272,99.06868944882444,104.3115202767247,104.55723683058704,111.09357859301603,101.69010486277456,102.64581551871206,104.75775628728805,105.50160658549743,108.92180409449026,108.85543921860119,113.50190984787795,107.21170533999387,107.75961663286297,109.1951899366167
e  Región Sur-Sureste,73.16846078522029,74.6041644770448,75.03031176780456,75.98417501694368,73.88631263113254,74.26764567668988,74.69677801175332,76.26829267537437,78.06652441384445,78.50013954086383,80.3473684792596,77.1674085446094,77.61165221002754,78.29558127733556,77.57698207765344,81.90298514499341,82.73260617912499,84.68125250013763,79.73998361132342,80.73752446725729,81.72345647547738,84.43431659426264,85.99682134781142,86.95340515159694,88.0300025149185,85.21556897103703,85.79484769789035,86.35363640214737,85.4665800347682,86.90908563697344,87.03769877048433,89.19976363105974,86.18783283587084,86.47112148074199,87.15328201832142,85.34823506721185,89.54791203146019,87.67458034316171,85.0042946443519,87.44807354933602,87.52357581394457,86.89375552154641,75.97549630870614,77.41877985339086,79.75433210448227,83.56473254757219,76.69713808104851,77.71620275552642,79.17833520353786,80.68326018065736,85.60262445957659,86.10139653984946,90.503618183446,83.14294232011696,84.12909372669446,85.72272484088235,85.9944371171607,89.90400078849072,90.83207348589589,95.12431571251926,87.9492189528257,88.9101704638491,90.46370677601665,91.69999283909085,93.24251132109195,91.29948914388149,97.41707955216575,92.4712520800914,92.0806644346881,93.4147682140575,90.12003448903948,94.47180824357525,91.41032329637285,95.04069296249637,92.29592136630738,92.00072200966252,92.76071474787099,93.02879373989752,93.7841944982172,95.48891141538547,98.637893149603,93.40649411905737,94.1006332178334,95.23494820077579,93.48893979323915,97.25985098288322,97.48488857684808,98.63947125744154,95.37439538806119,96.07789311765681,96.718287652603,93.74435720515692,97.99270862036852,96.76812406866725,99.9777926685848,95.86853291276273,96.16839663139757,97.12074564069437,94.73871544110615,96.36588978495465,97.4331595361631,101.51913192981203,95.55230261303039,96.17925492074131,97.51422417300898,95.60957067470312,100.52099278452499,100.25412993046035,103.61530661031149,98.06528172961407,98.79489779656284,100.,96.96784486083246,99.75666041450485,99.86702630992357,102.53124753941971,98.36225263766866,98.86384386175364,99.78069478117014,97.0851687682109,73.91943099989903,91.67980635209025,97.45508821519732,85.50229988405496,87.56146870673341,90.03487358384939,93.45637294371065,96.35669801912199,98.48367717801995,103.14832184111702,94.90653548141633,96.09891604695086,97.86126749549243,96.34712985914727,102.77375822218188,103.35337711932897,106.61295124521952,99.56044404066458,100.82475506688604,102.27180411146941,100.19855819645575,105.965277371386,106.55094990934487,112.63347907242571,103.08191778392086,104.23826182572888,106.33706613740308
Variación porcentual anual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,NA,NA,NA,NA,NA,NA,NA,1.6650022621567189,3.410649176692317,3.4798200718879,5.339844451711073,2.5504588272945625,2.863899764626993,3.491280691090509,0.09517735288639528,4.727889444941582,3.7701975906496727,4.207597532957124,2.4647707167734296,2.9076816368784932,3.242951516825883,10.78837531745603,5.341152395393607,4.616121187927959,2.9701974690233612,7.9406280659151065,6.803220993646491,5.805383678335161,1.4894976992562619,2.1562685196564644,3.014204430638472,1.589566873454018,1.8296833593410184,2.2266424414005,2.065238927506414,-1.1717677522181305,2.206580711749794,1.9647695512211811,-2.091531882982224,0.5573894904745913,1.0326671072350564,0.24483808532247053,-11.95715695429584,-16.415651541126408,-11.96497981237269,-2.5390193545476194,-14.276597033498206,-13.488753067347318,-10.791913681908454,10.622255388262374,12.806594495136366,10.032233238600966,9.574557098606988,11.73025736034279,11.141344492490049,10.719756583498864,10.316111250895645,7.982043131243685,7.730131570238697,2.52661927863349,9.120754087664196,8.643267994610554,7.014436270772563,6.059836820544135,3.8767206671592334,-0.1103475493518431,5.383002026412072,4.95345460347383,3.2293541409075317,3.7788085313926274,-2.2568203178895345,3.6274327746252055,2.20473829733281,-1.3132290147971588,0.6946687597902752,1.192176770366089,0.5430987384308423,2.148397078631831,1.5015331133751602,3.885445425702187,4.735045001152429,1.8144858247453755,2.5036121656176533,3.0710382905266016,3.7966338380368825,2.2056895881002134,3.5493909983886027,-0.1373682818984605,2.977912538903297,3.1706395672763676,2.315873226752089,0.2709544474164005,1.5627749674225697,-0.5262002287640684,4.099532259512898,0.9307574613761034,0.437605089642517,1.3611341696573334,3.0675651251221154,0.5740439112263971,1.6562616524208096,3.4768976994755008,1.7860131936410255,1.7425162170881805,2.1917400790965758,3.3627417559206805,5.129697903688935,4.914567584309992,2.56442344916519,4.260060463518656,4.479286727031905,3.9770787978209228,0.43418169031686205,-2.0073556132691834,-1.1368714691471098,-1.5985621881070387,-0.8160536155667586,-0.92395880481223,-1.098482114684316,-1.3856498822723609,-25.09406007202587,-7.9156535312493475,-2.4874284475935298,-13.380171199580374,-11.546162713063481,-9.214472052270153,-1.737556709637147,29.69497446536539,6.800765774427589,3.5999840709932016,12.014218985418879,10.192656310149431,8.369982789677238,5.100466651271134,7.159534041414446,7.5839459710485215,3.9858326616360387,6.143504285177698,6.6312978134519796,5.932099891957449,4.720343722476272,3.504175762384264,3.7563995581802345,4.02427874209981,4.098386707492139,3.9815409591904114,3.992629047205739
a  Región Norte,NA,NA,NA,NA,NA,NA,NA,1.235304047533532,3.2246433815778914,4.304800721700715,3.684187057899038,2.240723897560244,2.9348345605466903,3.125234889349244,1.9938205356895509,5.080900101361152,2.5601957551720176,5.193656764418648,3.5690574621461053,3.2252807739922957,3.7281292869944878,8.101403838528043,4.998311747283822,6.078570944689446,4.788540245949676,6.494882547434926,6.353935472088395,5.9483838684154335,2.2133315392792667,3.34769086333624,3.4758903327676762,1.8851414612375237,2.792354843818387,3.0231744613573994,2.731568480060915,2.0439440483961135,3.8755869191697343,1.6205214631406903,-4.800971268526695,2.983940383769095,2.5215112261881103,0.6606805874623092,-13.93107837414101,-17.959768540845687,-13.595881335517134,-2.751091743380371,-16.01649684052623,-15.202714757205058,-12.21012541721798,7.588091317145313,12.141677235871711,11.30850317998457,9.702893551201441,9.890676854945355,10.376365382222971,10.197065129191557,8.937168491655797,6.621650681559117,8.279969118183274,5.239207763017205,7.742309759255207,7.92804498275143,7.215398685759084,7.371246365618461,6.13591631240817,1.396673746127803,3.027445770456154,6.740418944169761,4.888394913121502,4.404262197420849,-1.2846112477475913,3.7214509744768947,1.957215051061283,0.5643806436264498,1.2572817824284925,1.4917876864878536,1.2537010493052918,1.6669244533781438,1.222532458071754,2.701942299739926,4.43619502957489,1.435787399511554,1.8619457932189505,2.518315456870738,5.5987959943075225,1.7352139072031463,4.453120684098337,-0.01763708905551198,3.5934953955110984,3.8852112807028334,2.8714652521757813,1.892198874199451,4.374796601448878,2.3877833448250385,6.562961207253522,3.1576183334371137,2.8949448498289883,3.82093682148394,3.6193897257204526,1.7743710368370813,-0.3415576089241199,-0.20261263527513051,2.6678580279786672,1.646083990424387,1.1670537362197422,-0.0724263706755579,1.083823413467158,2.0976968132732594,2.777625749738803,0.5186969333457228,1.044324617089103,1.487373233786144,0.5085280102500036,-2.5707626133119987,-1.2873711279369644,-2.166622225992114,-1.074584957253137,-1.146157023017608,-1.4103140288358276,-0.11991034581086524,-21.731513757089942,-7.142063577029347,-3.0876338029952137,-11.062739988076004,-9.745877842378277,-8.035550625288451,-1.735442574008374,24.9054334773448,6.030350134864747,3.5675406867584627,10.135749714110617,8.717062256953852,7.323117373814057,3.242719694207395,6.733949276900859,6.308751217410105,4.707614645596351,5.007039319815604,5.4457504544110975,5.2529334286236775,3.8521173168623193,2.768787937139109,3.3549351425273386,4.273537025662108,3.295645027178651,3.315790896504396,3.5646786729968767
